순위,제목,저자,출판사,요약
1,Do it! 오토캐드 2020 2판 ,박한울,이지스퍼블리싱,"캐드 고수의 명령어를 모르면 삽질의 늪에 빠진다
이제 캐드와 씨름하지 말고, 퇴근하세요!

오토캐드 분야 1위! 《Do it! 오토캐드 2020》은 현장에서 굴러본 ‘캐드 고수’가 매일 칼퇴하는 비법을 알려준다."
2,Auto CAD 오토캐드 기본+활용  한글판  2019 ,박석용,청담북스,"이 교재는 기계 설계 업무 수행 혹은 도면 작도를 위해서 AutoCAD오토캐드 프로그램을 배우고자 하는 초보자들에게 AutoCAD오토캐드에서 지원하고, 이용할 수 있는 중요한 명령들의 옵션 및 사용법을 설명하고, 그"
3,Revit architecture 2019 건축 BIM 입문을 위한 ,이세훈,디지털북스,"BIM에서 가장 많이 사용되는 모델링 도구인 Revit을 처음 접하는 분들을 위해 검토부터 모델링, 문서화, 렌더링까지 기본적인 학습을 위한 책입니다. 하나의 건축물을 완성해 나가며 꼭 필요한 기능들을 쉽게 익혀"
4,Solidworks Basic 솔리드웍스 베이직  2017  Play!  CD1장포함 ,원동현,청담북스,"『Solidworks Basic 솔리드웍스 베이직  2017 』은 솔리드웍스를 처음 접하는 독자의 눈으로 바라보는 용어 정리와 내용 구성에 집중하였다. 예제를 넉넉히 수록하였으며, 연습문제의 정답을 맞추어 볼 수 있도록"
5,V-Ray for Sketchup 브이레이 포 스케치업 ,한정훈,정보문화사,주요 기능 몇 개 사용해보고 예제 몇 개 그려 본다고 실력이 향상되지는 않는다. 무엇보다 기초가 탄탄한 배경에서 작업 상황에 맞게 기능을 사용하는 능력을 키우는 것이 매우 중요하다. 이 책은 기초부터 원리
6,전자캐드기능사 필기 단기완성 2020  Win-Q  개정판 ,정도건,시대고시기획,"Win-Q 전자캐드기능사는 다음과 같이 구성되었다!

제1편은 핵심이론+핵심예제로 구성되었다. 필수적으로 학습해야 하는 중요한 핵심이론들을 각 과목별로 분류하여 수록하였고 시험에 자주 나오는 핵심예제를"
7,회사에서 바로 통하는 오토캐드 2019 ,심미현,한빛미디어,"<회사에서 바로 통하는 오토캐드 2019>는 쉽고 빠르게 실무 도면을 작성할 수 있게 도와주는 현장밀착형 입문서이다. 오토캐드를 처음 접하는 입문자도 이 책의 학습 과정을 따라 2D 도면 그리기, 편집 작업부터"
8,솔리드웍스 정적구조 공학해석 실무,이상만,메카피아,본 도서는 정적구조해석 기반과정 또는 그것에 상당하는 해석능력을 보유한 학습자를 대상으로 집필된 도서이므로 해석 기반논리가 충분하지 않다면 다소 난해하다고 느껴질 수도 있을 것으로
9,CATIA로 배우는 유한요소해석,주석재,홍릉과학출판사,▶ 이 책은 컴퓨터 설계프로그램을 다룬 이론서입니다. 컴퓨터 설계프로그램의 기초적이고 전반적인 내용을 학습할 수 있습니다.
10,ATC 캐드마스터 1급 2급 AutoCAD,홍성기,성안당,본 도서는 2D 도면작성 능력을 검증하는 2급 시험과 3차원 모델링 능력을 검증하는 1급 시험을 대비함은 물론이고 초보에서 실무자 모두에게 캐드의 기초에서 3차원까지 핵심을 한 눈에 알 수 있도록
11,오토캐드 2020,조성근,성안당,"유튜브 동영상 강의를 통해 오토캐드 2020, 정석대로 제대로 배운다!
오토캐드 2020은 빠르고 효율적인 작업이 가능해졌으며 클라우드 기능으로 드롭박스나 아마존과 같은 유명 클라우드 저장소에 직접 연결하여"
12,캐드 도면 설계 건축 인테리어 실무를 위한  CD1장포함 ,강윤정,디지털북스,"건축, 인테리어 실무를 위한『캐드 도면 설계』. 도면을 제작하기 위한 AutoCAD 기술을 저자의 노하우를 토대로 설명한다. 건축, 인테리어 도면 설계에 꼭 필요한 명령어들을 위주로 서술하였고, 예제를 차근차근"
13,Catia V5-6R2017 Draft Workbench DVD  동영상으로 배우는 ,서정식,Nstart,"이 도서는 9시간 38분에 걸친 동영상 강좌 음성 포함 가 들어있는 DVD로 구성되었으며, 3D Part 파일과 Assembly 파일을 활용한 다양한 View를 생성하는 방법과 치수 Dimension 기법, Datum, Tolerance,"
14,PLAY! Solidworks 솔리드웍스  2018 Advance CD1장포함 ,원동현,청담북스,"솔리드웍스 SOLIDWORKS 프로그램에는 기본적인 모델링 도구 외에 함께 사용하는 다양한 모듈이 포함되어 있습니다. 이미 출간된 Play! SOLIDWORKS 시리즈 교재에서는 평면 스케치 작업이나 솔리드 모델링,"
15,Autodesk Inventor Professional 오토데스크 인벤터 프로패셔널 . 1 2019  도서 예제 및 결과물 파일 ,송정식,청담북스, 
