순위,제목,저자,출판사,요약
1,직장인을 위한 실무 엑셀 개정판 ,선양미,길벗,"『직장인을 위한 실무 엑셀』은 엑셀 모든 버전에서 사용 가능한 실무 예제로, 업무를 빠르게 처리할 수 있는 필수 팁만 쏙쏙 뽑아 알려주는 책이다. 실무에서 가장 유용한 함수와 분석 기능 뿐만 아니라 분석"
2,회사에서 바로 통하는 실무 엑셀+파워포인트+워드&한글,전미진,한빛미디어,"엑셀, 파워포인트, 워드, 한글 모든 버전에서 학습할 수 있는 우선순위 핵심기능만 빠르게 익힌다!
업무에 최적화된 실무 예제로 단숨에 마스터하는 직장인의 업무 잘하는 기술!

오피스 2007, 2010, 2013,"
3,된다! 7일 실무 엑셀,한정희,이지스퍼블리싱,"일주일이면 기초 떼고 VLOOKUP, 피벗 테이블까지!
조회수 300만! ‘짤막한 강좌’ 한쌤의 특별 과외

구독자들의 감동과 감사 댓글이 가득한 유튜브 채널 ‘짤막한 강좌’ 한정희 선생님이 드디어 책을 냈다."
4,보고서 작성 실무 강의,홍장표,한빛미디어,"보고서 작성에 필요한 감각을 단숨에 키우기는 어렵지만 보고서를 쓰는 기술은 보고서 작성 패턴만 알면 실력을 쉽게 쌓을 수 있습니다. 보고서 작성에 필요한 제목, 문장, 내용 구성, 그리고 활용 가능한 서술"
5,엑셀 매크로&VBA 바이블,최준선,한빛미디어,"엑셀 2007, 2010, 2013, 2016, 2019 Office 365 등 엑셀의 모든 버전에서 매크로와 VBA의 기본 기능부터 주요 기능, 실제 업무에 활용할 수 있는 코드까지 체계적으로 학습할 수 있다. 버전별로 차이가 나는"
6,된다! 파워포인트 실무의 신,김지훈,이지스퍼블리싱,회원 수 48만! 국내 최대 파워포인트전문가클럽 이하 파·전·클 의 운영진이 분초를 다투며 살아가는 직장인들을 위해 ‘한 번 배우면 평생 시간을 벌게 해줄 파워포인트 입문서’를 집필했다. 마우스 클릭
7,까칠한 조땡의 파워포인트 디자인,조현석,애드앤미디어,"파워포인트, 예쁘게 만들고 싶나요?
네티즌이 인정한 까칠한 조땡의 파워포인트 디자인 비법, 무료 템플릿, 동영상 강의와 함께 확인해 보세요.

ONLY 파워포인트!! 조땡이 전하는 7가지 비법을 확인해"
8,윈도우10 엑셀 파워포인트 워드2019 한글 무작정 따라하기,고경희,길벗,"검색보다 빠르고, 동료보다 친절하다!
회사에서 자주 사용하는 핵심 기능만 쏙 뽑아 업무에 딱 맞게 적용해 보세요.
_믿고 보는 최고의 오피스 핵심 실무서 
_단 한권으로 해결! 모든 버전 완벽 대응 오피스"
9,회사에서 바로 통하는 실무 엑셀,한은숙,한빛미디어,"엑셀 2007, 2010, 2013, 2016, 2019와 Office 365까지 버전에 상관없이 실무에 꼭 필요한 엑셀 핵심기능을 익힐 수 있다. 엑셀 문서를 다룰 때 반드시 학습해야 할 최우선순위 기능 65개와 회사 업무에 바로"
10,구글 스프레드시트 바이블,다케다 마사토,스타비즈,"한국에서 처음으로 선보이는 구글 스프레드시트 입문서

구글 스프레드시트는 마이크로소프트의 Excel을 대체할 수 있는 유용한 무료 어플리케이션입니다. 인터넷에 연결되어 있고, 구글 계정만 있다면 어디서"
