순위,제목,저자,출판사,요약
1,윈도우 10 무작정 따라하기 개정판 ,고경희,길벗,"윈도우 10 전문가로 업그레이드 하세요!
▷ 윈도우 10의 최신 업데이트를 만나보세요
▷ 꼭 필요한 알짜 앱만 골라 빠르게 적응하세요
▷ 보안부터 공유까지 전문가로 업그레이드 하세요"
2,맥OS 카탈리나 무작정 따라하기,고경희,길벗,"큰맘 먹고 구입해 웹 서핑만 하고 있지 않나요? macOS로 원하는 작업을 바로 시작해보세요. 파일 관리, 정보 수집, 기록과 편집, 유지 및 관리 등 macOS의 다양한 기능을 사용 목적에 맞게 구분하여 설명합니다."
3,임베디드 리눅스 프로그래밍 완전정복 2판 ,크리스 시먼즈,에이콘출판,"임베디드 리눅스를 이용해서 장치를 만들 때 고려할 하드웨어 관련 사항, 툴체인과 부트로더 선택, 커널 구성과 루트 파일시스템 생성, 빌드 시스템 선택, 플래시 메모리, 장치 드라이버, 시스템 부트 과정을"
4,리눅스마스터 1급 정복하기 1차 2차 시험대비  IT Holic 94 ,정성재,북스홀릭퍼블리싱,"- 독자대상 : 리눅스마스터 1급 준비생
- 구성 : 이론 + 문제
- 특징 : 
① 시험 주관기관인 한국정보통신진흥협회에서 제시한 분류에 따라가지만  최근 경향에 맞지 않거나 불필요한 내용은 배제함
② 사용"
5,자율 주행 자동차 만들기,리우 샤오샨,에이콘출판,"2019년 대한민국학술원 우수학술도서 선정도서

컴퓨터 및 공학 배경지식을 갖춘 일반 독자를 대상으로 한 자율 주행 자동차에 관련된 기술을 전반적으로 소개하는 최초의 책이다. 자율 주행 자동차 시스템"
6,이것이 우분투 리눅스다,우재남,한빛미디어,"『이것이 우분투 리눅스다』는 ‘초보자도 리눅스의 실무 기능을 막힘 없이 실습 가능하도록’ 저자의 17년간의 생생한 강의 경험을 이 책에 담았다. 특히 FTP 서버는 물론, NFS 서버, Samba 서버, DHCP 서버,"
7,된다! 맥북&아이맥 2020 ,김기백,이지스퍼블리싱,2015년 첫 출간 이후 줄곧 ‘분야 1위’를 차지한 <된다! 맥북&아이맥>이 최신 맥OS 버전인 카탈리나에 맞춰 전면 개정되었다. 맥 입문을 위해 고시 공부하듯 많은 시간을 투자하는 것은 난센스다. <된다!
8,이것이 Windows Server다,우재남,한빛미디어,"『이것이 Windows Server다』는 시나리오 형태의 실습으로 배우는 Windows Server 2016 서버 구축 입문서이다. 이 책을 따라서 실습한다면 Windows Server 초보자도 막히는 부분 없이, 실무에서 구축/운영하는"
9,CentOS 7 예비학교,후쿠다 카즈히로,길벗,"레드햇 엔터프라이즈 리눅스의 무료 배포판인 CentOS를 사용해서 다양한 서버를 구축해보자. 이 책은 최신 CentOS 7.4 버전을 기준으로 하며, 설치부터 환경 설정, DNS 서버, 메일 서버, FTP 서버, 웹 서버,"
10,만화로 배우는 리눅스 시스템 관리. 3: 네트워크 & 보안입문,Piro,길벗,시스템 관리 부서 신입 사원 리나 민트! 선배 사원 오노의 지도를 받아 서서히 성장하는 만화. 3권에서 신입 사원 리나 민트는 선배 사원의 친절한 지도로 네트워크와 보안 관리자로 성장합니다.
11,리눅스 서버 관리 바이블 오픈소스 프로그래밍 ,정철,에이콘출판,[리눅스 서버 관리 바이블]은 CentOS에 소개된 새로운 기술과 실무에 유용한 20가지 이상의 주요 네트워크 서버 프로그램을 충분한 실습 예제와 자세한 설명을 통해 집중적으로 소개한다. 충분한 개념 설명을 통해
12,임베디드 OS 개발 프로젝트,이만우,인사이트,"이 책은 펌웨어 개발 과정을 실시간 운영체제 RTOS 를 만들어 가며 설명한다. 임베디드 운영체제를 개발 환경 구성에서 시작해 최종적으로 RTOS를 만드는 과정 부트로더 제작, 하드웨어 제어, 태스크 간 동기화"
13,ARM Cortex-M3  STM32F103 정복 ARM Cortex-M 시리즈 3 ,윤덕용,Ohm사,▶ 이 책은 ARM Cortex-M3  STM32F103에 대해 다룬 도서입니다. ARM의 기초적이고 전반적인 내용을 확인할 수 있도록 구성했습니다.
14,윈도우 10 뚝딱뚝딱 배우는 ,IT교재연구팀,시대인,"● 눈이 ‘탁’ 트이는 큰 글씨와 큰 그림
컴퓨터를 처음 배우는 초보자들을 위해 큰 글씨와 큰 그림으로 구성하였습니다.

● 알면 알수록 보이는 쉬운 구성
알아두어야 할 기초적인 내용들을 중심으로"
15,맥 쓰는 사람들의 macOS 모하비,고래돌이,한빛미디어,"맥을 켜고 끄는 방법이나 트랙패드를 사용하는 방법과 같이 아주 기초적인 것부터 사용자의 맞춤 운영체제로 거듭나는 고급 활용 방법까지, 이 책 한 권이면 충분하도록 맥의 거의 모든 기능을 담았습니다. 맥을"
