순위,제목,저자,출판사,요약
1,DDD Start!,최범균,지앤선,이 책은 DDD 도메인 주도 설계 를 처음 접하는 개발자를 위한 책이다. DDD를 실제 업무에 적용할 수 있도록 기본적인 이론을 설명하고 이를 구현한 코드를 바탕으로 입문자가 헤매지 않고 DDD를 학습할 수 있도록
2,애자일 & 스크럼 프로젝트 관리,이재왕,길벗,"애자일은 정형화된 프로세스, 도구, 방법론이 아니라 구성원 간의 상호작용과 소통, 고객과의 협력, 변화에 대응하는 것을 중시하는 가치와 철학을 말한다. 애자일은 기존 방법론과 상호보완하며 적용할 수 있는"
3,IT에 몸담은 이들을 위한 지적 생산 기술,니시오 히로카즈,제이펍,"우리는 일을 할 때 생산적이면서 가치가 높아지는 방안에 대해 끊임없이 고민합니다. 이 책은 그 고민에 대한 해결책으로, 엔지니어의 프로그래밍과 글쓰기라는 예를 통해 지적 생산 기술을 제안합니다. 아울러"
4,IT 운용 체제 변화를 위한 데브옵스 DevOps,카와무라 세이고,영진닷컴,DevOps는 Dev 개발 과 Ops 운용 이 긴밀한 협력과 연계를 통해 비즈니스 가치를 높이려고 하는 근무 방식과 문화를 말합니다. DevOps는 최신 기술과 도구의 사용뿐만 아니라 그것들을 둘러싼 조직과 문화까지
5,"프로메테우스, 오픈소스 모니터링 시스템",브라이언 브라질,책만,"프로메테우스 Prometheus 는 쿠버네티스에 이어 CNCF 클라우드 네이티브 컴퓨팅 재단  프로젝트를 두 번째로 졸업하며 사실상의 표준 모니터링 도구로 자리잡았다. 또한, 쿠버네티스 클러스터를 운영하며"
6,GoF의 디자인 패턴 :재사용성을 지닌 객체지향 소프트웨어의 핵심요소 개정판  양장본 HardCover ,에릭 감마,프로텍미디어,▶ 이 책은 디자인 패턴을 다룬 이론서입니다. 디자인 패턴의 기초적이고 전반적인 내용을 학습할 수 있습니다.
7,함께 자라기,김창준,인사이트,"‘함께’는 협력을 말하고, ‘자라기’는 학습을 말합니다. 무엇이건 실제 바깥세상 야생 에 임팩트를 남기려면 혼자 힘으로만 되는 게 없습니다. 함께 해야 합니다. 주변 사람들과 함께. 매일 부대끼는 동료들과"
8,애자일 경영 교과서,사이먼 헤이워드,유엑스리뷰 UX REVIEW ,주요 기업들이 4차 산업혁명에 대비하고자 도입하고 있는 비즈니스 트렌드 “애자일 Agile ”의 모든 것을 다룬 교과서. 조직문화?리더십?제품 개발 등 모든 분야에서 유연성과 민첩한 대응을 강조하는 새로운
9,사용자 스토리 맵 만들기,제프 패튼,인사이트,"“아이디어를 올바른 제품을 만들어 나가는 여정”
스토리 매핑이란, 만들고자 하는 제품의 각 단계와 내용을 사용자가 이해할 수 있는 언어 스토리 를 사용해 지도 형태로 만드는 과정이다. 애자일 소프트웨어"
10,만들면서 배우는 Git + GitHub 입문,윤웅식,한빛미디어,『Git GitHub 입문』은 Git과 GitHub를 이용한 버전 관리 시스템을 다루는 방법을 배우는 입문서다. 버전 관리 시스템과 Git 고유의 명령어 중심으로 Git의 기본 개념 및 Git 기반의 대표적인 원격 저장소인
11,시작하세요! 도커/쿠버네티스 위키북스 시스템 & 네트워크 시리즈 8 ,용찬호,위키북스,도커 컨테이너는 애플리케이션을 배포하기 위한 새로운 패러다임을 제시하는 가상화 패러다임입니다. 컨테이너 자체는 사용하기 매우 쉽지만 이를 활용하고 관리하기는 결코 쉽지 않습니다. 이 책은 도커를 처음
12,레거시 코드 활용 전략 재출간판 ,마이클 C. 페더스,에이콘출판,▶ 레거시 코드 활용 전략에 관한 내용을 담은 전문서적입니다.
13,나는 LINE 개발자입니다,강윤신,한빛미디어,"글로벌 테크 기업 LINE의 개발 고수 12인의 개발 라이프 
10대 창업자, 게임 마니아, 철학 전공 개발자, 아마존 출신 개발자 등 다양한 경력의 12인이 라인 LINE  개발자가 되기까지의 이야기, 그리고 라인에서"
14,스프링 퀵 스타트 Spring Quick Start ,채규태,루비페이퍼,"스프링 프레임워크의 핵심 개념을 단계별 실습으로 설명한 『스프링 퀵 스타트』. 스프링에서 제공하는 모든 API를 다루지는 않으며, IoC, AOP, DI 등 스프링의 핵심 개념을 친절하게 설명하였다. 이를 바탕으로"
15,카이젠 저니,이치타니 토시히로,제이펍,"SI 기업에서 IT 엔지니어로 근무하는 에노시마는 문제투성이인 프로젝트와 의욕 없는 직원들에게 염증을 느낀다. 그러던 어느 날, 한 개발자 이벤트에 참가하게 된 것을 계기로 나 자신부터 고쳐보자는 결심을"
16,애자일 마스터,조너선 라스무슨,인사이트,"애자일 마스터: 프로젝트 인셉션, 추정과 계획 그리고 실행『애자일 마스터』. 이 책은 실용적인 실천법, 작가가 직접 겪었던 프로젝트 경험담, 독자들이 직접 시도해 볼만한 연습 시나리오들로 구성한 책이다."
17,함수형 사고,닐 포드,한빛미디어,[함수형 사고]는 객체지향 언어에 길든 개발자들에게 예제를 통해 함수형으로 ‘생각’하는 법을 깨닫게 해주는 책이다. 스칼라 같은 함수형 언어의 수요가 늘고 있지만 자바 같은 객체지향에 익숙한 개발자들은
18,신제품 개발 프로세스 전2권 ,이광수,이레테크,"저자는 25년 이상 연구개발 업무를 하면서 여러 기업의 R&D 규정을 접하게 되었다. 규모가 있는 기 업은 체계적인 조직구조를 갖추고 규정이나 절차에 따라 R&D 활동을 하고 있는 반면, 규모가 작은 기 업에서는"
19,인프라 엔지니어의 교과서: 시스템 구축과 관리편,기술평론사 편집부  엮음 ,길벗,더 편리한 인프라 환경이 갖춰지면서 인프라 엔지니어뿐만 아니라 소프트웨어 엔지니어도 시스템 구축과 관리는 중요한 역량이 되고 있다. 이 책은 신입 인프라 엔지니어뿐만 아니라 소프트웨어 엔지니어도 시스템
20,LLVM 코어 라이브러리 제대로 배우는 ,부르노 카도소 로페즈,비제이퍼블릭,"[제대로 배우는 LLVM 코어 라이브러리]는 처음 사용을 위해 LLVM 라이브러리, 툴과 외부 프로젝트에 대한 구성 방법, 구축 방법, 그리고 설치 방법을 보여준다. 다음으로 LLVM 디자인에 대해 소개하고 프론트엔드,"
21,Head First Agile,앤드류 스텔만,한빛미디어,"- [개발자 레벨업 프로젝트] 더 나은 나와 팀을 위한 방법론
이 책은 애자일 선언문의 가치와 원리를 토대로 애자일 프랙티스, 방법론, 마음가짐의 변화까지 설명합니다. 다양한 기법을 활용해 가상의 팀에"
22,정책 기반 시스코 ACI 데이터센터,Lucien Avramov,성안당,"이 책에서, 시스코 데이터센터 전문가는 루시엔 아라모브와 마우리지오 포르톨라니가 시스코 애플리케이션 중심 인프라스트럭처 ACI 와 파이썬 python , REST Representational State Transfer ,"
23,하이브리드 발전시스템 제어와 마이크로그리드에의 적용,김호찬,제주대학교출판부,▶ 이 책은 하이브리드 발전시스템 제어와 마이크로그리드에의 적용에 대해 다룬 이론서입니다. 하이브리드 발전시스템 제어와 마이크로그리드에의 적용에 대한 내용을 학습할 수 있도록 구성했습니다.
24,아파치 Flume 따라잡기 acorn+PACKT 시리즈 ,스티브 호프만,에이콘출판,플룸 Flume 은 하둡 Hadoop  기반의 로그 데이터 수집을 위해 아파치 재단에서 개발한 오픈소스 소프트웨어 엔진이다. 특히 로그 성격의 다양한 데이터를 병렬적으로 분산처리하면서 수집할 수 있는 강력한 기능을
