순위,제목,저자,출판사,요약
1,레트로의 유니티 게임 프로그래밍 에센스 소문난 명강의 ,이제민,한빛미디어,"게임을 만드는 ‘완벽한 준비’를 위해 시간을 낭비하지 마세요. 이 책은 기본을 빠르게 익히고 나서 게임을 직접 만들며 필요한 기능을 알아가는 입문 + 활용서로서 여러분의 시간을 아껴줍니다.
C#을 몰라도,"
2,이득우의 언리얼 C++ 게임 개발의 정석,이득우,에이콘출판,"언리얼 엔진 학습에 목말라하는 게임 개발자에게 단비 같은 언리얼 엔진 프로그래밍 책이다. 에픽게임즈 본사의 개발자 프로그램 ‘언리얼 데브 그랜트’를 수상한 저자의 책으로, 언리얼 엔진의 프로그래밍을"
3,유니티 교과서 그림으로 이해하고 만들면서 익히는  개정판 3판 ,기타무라 마나미,길벗,"[유니티 교과서, 개정 3판]은 유니티를 사용해 2D/3D 게임과 애니메이션을 만들면서 유니티 기초 지식과 함께 게임 제작 흐름을 익히는 것을 목적으로 한다. 유니티를 설치한 후 C# 핵심 문법을 학습하고, 이어서"
4,마인크래프트 슈퍼 건축 레시피,히류,한빛미디어,마인크래프트는 수백 가지 블록과 아이템으로 머릿속에서 상상하는 모든 건축물을 직접 만들 수 있는 게임이다. 마인크래프트 달인이 만들어 낸 갖가지 건축물을 요모조모 살펴보고 하나하나 따라 해 보면
5,유니티 게임 프로그래밍 바이블 위키북스 게임 개발 시리즈 23 ,요시야 미키토,위키북스,《유니티 게임 프로그래밍 바이블》은 이제 막 유니티 초보자의 길을 졸업한 개발자에게 한 단계 올라설 수 있는 실력을 갖추도록 도와주는 정보를 제공한다. 계속 진화하는 유니티 개발 환경의 최신 기능
6,Game Programming in C++,산자이 마드하브,에이콘출판,"C++는 게임 개발을 선도하는 주요 스튜디오에서 핵심 언어로 사용한다. C++는 여러 코드 기반에서 사용되기 때문에 이들 스튜디오는 게임을 유지보수하거나 개선할 때 C++를 사용한다.
이 책은 C++로 3D 비디오"
7,유니티 쉐이더 스타트업 테크니컬 아티스트를 위한 ,정종필 대마왕 ,비엘북스,『유니티 쉐이더 스타트업』은 프로그래밍으로 완성해야 하는 쉐이더의 구현을 아티스트들의 역량으로도 충분히 발휘할 수 있도록 도움을 주는 책입니다. 저자의 오랜 게임그래픽 실무경험과 대학강의에서 쌓아둔
8,The Game Graphics: 모델링과 텍스처링 #3,강희송,비엘북스,차세대 게임그래픽을 위해 알아두어야 할 다양한 읽을거리와 모델링과 텍스처링에 대한 수준 높은 게임그래픽 정보들을 다루고 있다.
9,유니티 게임 제작 가장 쉬운 ,김민석,정보문화사,아직도 유니티 5입니까? 이 책은 최신 유니티 2017과 2018 버전에서 새로 추가된 유용한 기능을 소개하며 유니티를 안내하고 있다. 지루한 유니티에 대한 설명보다는 게임 제작과 진행을 위한 사전 준비 과정으로
10,게임/기획/개발 게임 크리에이터를 꿈꾸는 사람을 위한 ,바바 야스히토,비즈앤비즈,"『게임/기획/개발』은 현재 게임회사에서 비디오 게임이 어떻게 기획되고 개발되는지 설명한 책이다. 제1장에서는 본래 게임이란 무엇인지를 생각해보며 게임의 본질을 알아보고, 제2장에서는 게임 개발이라는"
11,유니티와 C#으로 배우는 게임 개발 교과서 위키북스 게임 개발 시리즈 14 ,제레미 깁슨,위키북스,『유니티와 C#으로 배우는 게임 개발 교과서』는 성공적인 게임 디자이너와 개발자가 되는 데 필요한 툴과 지식을 담고 있다. 책은 게임 디자인을 위한 이론과 필수적인 개념뿐 아니라 프로그래밍이나 개발에 대한
12,게임 서버 프로그래밍 교과서,배현직,길벗,"<세븐나이츠>, <마블 퓨처 파이트>, <마비노기 영웅전>, <스트라이트 파이터5> 등 전세계 13개국, 190개 이상의 다양한 게임에서 사용 중인 서버 네트워크 엔진 프라우드넷 ProudNet 을 개발한 저자의 지식과 실전"
13,셰이더 코딩 입문,카일 할러데이,에이콘출판,셰이더 코딩의 기초부터 유니티와 언리얼 엔진의 커스텀 셰이더 제작까지 실습과 함께 설명한다. 먼저 오픈프레임웍스를 이용해 버텍스와 프래그먼트 셰이더부터 라이팅과 노말 매핑까지 게임 그래픽의 핵심
14,NUKE 101 비주얼이펙트 아티스트를 위한  2판 ,Ron Ganbar,비엘북스,"비주얼이펙트 아티스트를 위한 누크 입문서 [NUKE 101]. 전문 Compositor이자, 유명한 강사로 알려진 저자 Ron Ganbar가 각 파트마다 NUKE의 중요한 합성 개념을 설명하고, 따라하기 방식의 튜토리얼로 구성해"
15,유니티 셰이더와 이펙트 제작 3판  게임 개발 프로그래밍 ,존 도란,에이콘출판,"유니티에서 사용하는 셰이더와 효과 제작에 대한 입문서로, 셰이더와 효과에 관한 기법을 예제를 통해 하나씩 익힐 수 있다. 일반적인 게임 환경뿐만 아니라 모바일 등에서 자원을 절약하면서도 최대한 품질을"
16,로블록스 공식 가이드북 롤플레잉 게임 편 양장본 HardCover ,ROBLOX,영진닷컴,"로블록스 ROBLOX 는 시뮬레이션이나 PVP, RPG 등 다양한 종류의 게임을 플레이하고, 플레이어가 여러 아이템으로 자신만의 게임 아바타를 꾸미고, 직접 게임을 제작할 수도 있는 온라인 소셜 게임 플랫폼입니다."
17,나만의 로블록스 게임 만들기 로블록스 스튜디오를 활용한 ,데이비드 재그노,영진닷컴,"로블록스 ROBLOX 는 시뮬레이션이나 PVP, RPG 등 다양한 종류의 게임을 플레이하고, 플레이어가 여러 아이템으로 자신만의 게임 아바타를 꾸미고, 직접 게임을 제작할 수도 있는 온라인 소셜 게임"
18,GPU Pro : 고급 렌더링 기법 양장본 HardCover ,Wolfgang Engel,정보문화사,"『GPU Pro : 고급 렌더링 기법』은 ShaderX 시리즈를 성공으로 이끈 Wolfgang Engel과 편집진이 만들어 낸 책으로, 고급 렌더링 기법들과 엔진 설계, GPGPU 기법들, 관련 수학 기법들을 다룬 글들과 게임 부검"
19,배경 일러스트 작법서,이동익,디지털북스,"게임 디자인에 있어 중요한 부분인 배경미술에 관한 이야기를 하려 합니다.
 잘못된 순서로 그리는 습관이나 색의 원리를 모르고 그림을 진행하는 경우가 많은데 이런 부분을 보완해 주고 나아가 초보에서"
20,게임 매니악스 액션 게임 알고리즘 게임 매니악스 시리즈 ,마츠우라 켄이치로,한빛미디어,"게임의 백미는 역시 액션 게임! 이 책은 100개 이상의 상용 게임을 분석하여 이동, 점프, 공격, 무기, 지형 이용, 아이템 등 화끈하고 박진감 넘치는 액션을 선사하는 알고리즘 94가지를 총정리하였다. 『게임"
21,판타지 사전 비즈앤비즈 게임크리에이터 시리즈 3 ,야마키타 아쯔시,비즈앤비즈,"판타지 게임 시나리오를 쓰려는 사람들을 위한 『판타지 사전』. 판타지 스토리를 창작할 때 알아두면 좋을 역사, 문화, 규칙을 사전 형식으로 정리한 책이다. 리얼리티 있는 판타지를 창작할 때 꼭 알아두면 좋은"
22,게임 물리 엔진 개발,이안 밀링턴,지앤선,[게임 물리 엔진 개발]은 여러 수학적인 문제를 풀어야 하는 게임 엔진 개발 과정을 자세히 다루고 게임에 바로 적용할 수 있는 수준의 완벽한 물리 엔진을 기초부터 고 난이도까지의 전 과정을 자세하게
23,실용 Direct3D 11 렌더링 계산,Jason Zink,와우북스,"『실용 Direct3D 11 렌더링 계산』은 Direct3D 11의 활용에 관련된 고수준, 저수준 개념들을 다루는 책이다. Direct3D 11의 전반적인 개념들을 소개하고, 렌더링 파이프라인과 계산 파이프라인을 개괄한다. 흔히"
24,전투 전략 사전 완벽한 게임 시나리오를 위한 ,야마키타 아쓰시,북스힐,"수많은 엔터테인먼트 작품에 빠지지 않는 소재가 바로 ‘전투’다. 특히나 판타지 작품은 80~90%가 전투에서 벌어지는 일을 다루는데, 창작자들이 가장 힘들어 하는 부분 또한 전투 장면이다. 판타지는 가공한"
25,멀티플레이어 게임 프로그래밍,조슈아 글레이저,길벗,"[리그 오브 레전드], [디스트로이 올 휴먼즈] 시리즈를 컨설팅하고 [로보블리츠], [맥스 액스], [스크랩 포스]를 개발한 조슈아 글레이저와 [메달 오브 아너: 퍼시픽 어썰트], [반지의 제왕: 컨퀘스트],"
26,게임 디자인을 위한 기초 이론,남기덕,에이콘출판,"앞으로 깊이 있는 게임 디자인을 가진 좋은 게임이 많이 나왔으면 하는 바람으로,  조금은 어렵지만  개발자와 게이머를 위해 작성한 책이다. 지금까지 감에 의존해서 이뤄지던 게임 디자인에 다양한 분야의"
27,게임 테스팅 3판  소프트웨어 테스팅 ,찰스 슐츠,에이콘출판,PC 게임과 모바일 게임을 아우르는 게임 테스팅의 기본 원칙부터 실무에 바로 적용할 수 있는 실용적인 테스트 기법까지 게임 테스팅 전반을 일목요연하게 다룬다. 게임 QA에 입문하려는 초보자부터 조직을
28,마인크래프트 세계 건축 여행: 유럽과 아메리카 달인과 함께하는  양장본 HardCover ,히류,한빛미디어,"마인크래프트로 세계의 유명 건축물을 직접 만들며 여행을 떠나자

마인크래프트는 마치 레고처럼 가상의 세계에서 정육면체 블록을 쌓는 단순한 게임이다. 그러나 약간의 노하우와 번뜩이는 아이디어가 있다면"
