순위,제목,저자,출판사,요약
1,맛있는 디자인 포토샵&일러스트레이터 CC 2019 ,박정아,한빛미디어,"포토샵&일러스트레이터를 제대로 배우는 가장 완벽한 레시피!
한 권으로, 한 번에! 쉽고 빠르게 익혀 바로 써먹는 그래픽 입문서!
 
그래픽 디자인에 꼭 필요한 포토샵과 일러스트레이터를 한 번에, 그리고"
2,모나블's 캐릭터 연출: 빛과 색감편,원보연,디지털북스,"빛과 색감을 어떻게 사용하느냐에 따라 그림이 확 달라 보입니다. 이 책은 캐릭터를 그리고, 채색함에 있어 빛과 색감을 위주로 풀어나갑니다."
3,편집디자인 강의 with 인디자인 10년차 디자이너에게 1:1로 배우는 ,황지완,한빛미디어,"편집디자인 실무는 동시에, 복합적으로 진행된다. 그래서 편집디자이너가 실무 프로세스를 제대로 이해하지 못하면 일의 흐름이 꼬여 난감해지기도 한다. 실무 경험이 있더라도 마찬가지다. 특히 클라이언트,"
4,권학봉의 포토샵 라이트룸 클래식 CC 사진보정 강의 개정판 ,권학봉,황금부엉이,이 책은 은하수 표지가 아름다웠던 《포토샵 라이트룸 사진보정 강의》를 어도비 CC 버전에 맞추어 새롭게 만든 책입니다. 2권 분량의 내용을 1권으로 묶어 사진관리부터 보정까지 한 번에 끝낼 수 있도록 탄탄히
5,포토샵&일러스트레이터 CC 무작정 따라하기 2019 ,민지영,길벗,"포토샵&일러스트레이터 CC 2019의 새로운 버전 출시에 맞춰 새롭게 선보이는 ‘포토샵&일러스트레이터 CC 2019 무작정 따라하기’는 사용자가 가장 쉽고, 빠르게 포토샵과 일러스트레이터를 배울 수 있도록 기본"
6,인디자인CC 책 한 권 뚝딱 만들기 편집디자인 실무,박영희,봄날에,"디자인 팀장 출신의 저자가 인디자인을 처음 사용하는 사람을 위해, 디자인 경력과 인디자인 강의 경력 17년 이상의 노하우를 1도 빼지 않고 싹 다 알려준다. 이 책의 최대 강점은 총 53개의 인디자인 템플릿"
7,가장 쉬운 이모티콘 만들기 양장본 HardCover ,정수진 연서 ,정보문화사,"이모티콘에 대한 기본적인 이해부터 시작하여 기획, 제작에 필요한 모든 스킬들을 담고 있다. 또한 여러 이모티콘 플랫폼들을 보기 쉽게 정리하여 카카오톡 외에도 작업한 이모티콘들을 판매할 수 있는 방법들에"
8,포토샵 CC 무작정 따라하기 2019 ,민지영,길벗,"포토샵은 사용자가 보다 쉽고, 빠르게 디자인 작업을 할 수 있도록 스마트한 자동 기능들과 도구, 옵션 등을 새롭게 제공하고 있다. 이번 버전보다 간편하게 이미지와 문자 프레임을 구성할 수 있는 기능부터"
9,포토샵 사전,우보명,제이펍,여러분은 지금 어떤 포토샵 책을 보고 있나요? 포토샵이 출시된 후 거의 매년 새로운 기능들이 추가되면서 포토샵으로 할 수 없는 작업은 거의 없다고 해도 과언이 아닙니다. 하나의 프로그램이지만 목적에 따라
10,스케치업 2019 완전정복,신명철,대가,"[핵심사항]
1. 실전 예제 10개로 배우는 스케치업 완벽가이드 
2. 초급·중급·고급 과정에 따른 단계별 학습 
3. 알짜배기 알아두기 및 TIP 모음 
4. 쉽고 빠르게 선이 아름다운 곡선 그리기 기법 수록 
5."
