순위,제목,저자,출판사,요약
1,시스코 네트워킹 후니의 쉽게 쓴  개정증보판 4판 ,진강훈 외,성안당,2002년 출간 이후 16년 동안 네트워크 분야 베스트셀러 1위를 지키고 있는 『후니의 쉽게 쓴 시스코 네트워킹』의 개정판 4th Edition 이 드디어 출간되었다. 이번 개정증보신판은 최신 네트워크 기술과 장비의
2,모두의 네트워크,미즈구치 카츠야,길벗,"[모두의 네트워크]는 이제 막 네트워크를 공부하기 시작했거나 공부해야겠다고 마음먹은 초급자를 대상으로 한 입문서다. 네트워크의 개념, 비트, 바이트부터 OSI 계층, 무선 랜 구조까지 160개의 일러스트와"
3,HTTP 완벽 가이드,데이빗 고울리,인사이트,"『HTTP 완벽 가이드』는 HTTP 규약이 어떻게 작동하고 웹 기반 애플리케이션을 개발하는 데 어떻게 사용하는지 설명하고, HTTP가 효율적으로 동작하도록 함께 사용하는 다른 핵심 인터넷 기술에 대해서 소개한"
4,도메인 주도 설계 위키북스 IT Leaders 시리즈 13 ,에릭 에반스,위키북스,"소프트웨어의 복잡성을 다루는 지혜『도메인 주도 설계』. 이 책은 독자에게 도메인 주도 설계에 대한 체계적인 접근법을 제공하고 폭넓은 우수 설계 실천법과 경험을 토대로 한 기법, 복잡한 도메인에 직면한"
5,윤성우의 열혈 TCP/IP 소켓 프로그래밍 2010  개정판 2판 ,윤성우,오렌지미디어,"『윤성우의 열혈 TCP/IP 소켓 프로그래밍』는 윤성우가 저술한 것이다. 눅스와 윈도우 기반에서의 소켓 프로그래밍을 함께 설명하며, 초보자에게 적절한 설명과 예제를 통해서 소켓 프로그래밍에 대한 재미를"
6,성공과 실패를 결정하는 1%의 네트워크 원리 2판 ,Tsutomu Tone,성안당,"이 책만큼 네트워크의 구조와 작동 원리에 대해 체계적으로 설명한 책은 없다!
이 책은 네트워크 기술을 해설한 <성공과 실패를 결정하는 1%의 네트워크 원리>의 제2판입니다. 이 책에는 제1판과 마찬가지로"
7,최신 서버 가이드북 그림 한 장으로 보는 ,Masahiro Kihashi,정보문화사,『그림 한 장으로 보는 최신 서버 가이드북』은 인터넷 정보만으로는 파악하기 어려운 서버의 운용에서 가상화까지의 중요 키워드를 약 82점의 그림으로 완벽 정리했다. 모든 항목의 해설을 철저하게
8,CAN LIN FlexRay를 활용한 차량용 네트워크 에이콘 임베디드 시스템 프로그래밍 시리즈 32 ,도미니크 파레,에이콘출판,"『CAN LIN FlexRay를 활용한 차량용 네트워크』에서는 차량용 다중 네트워크 버스 CAN, LIN, 플렉스레이 등 에 대해 기술적 원리, 부품, 구현과 응용 등을 심층적이고 종합적으로 다룬다. 광범위한 응용이 가능한"
9,네트워크 가상화의 모든 것 네트워크 프로그래밍 ,라젠드라 차야파티,에이콘출판,"2019년 대한민국학술원 우수학술도서 선정도서

시스코의 네트워크 전문가 3명이 NFV에 대한 기초 개념부터 관련 표준, 활용 방안 등을 설명하고 SDN과의 상호 동작 구조 및 전체가 통합된 그림을 보여준다."
10,5G시대 네트워크 유무선 네트워크부터 5G까지 ,김동옥,연두에디션,"본 도서는 크게 세 부분으로 구성되었다. 

첫째 부분에서는 유선네트워크 이론을 접하도록 하였고, 
두 번째는 이를 바탕으로 4G 무선통신 네트워크에 관련한 이론과 실무를 할 수 있도록 무선 네트워크부터"
11,TCP/IP 완벽 가이드,CHARLES M.KOZIEROK,에이콘출판,"TCP/IP 가이드북. 이 책은 TCP/IP 인터네트워크를 동작시키는 핵심 프로토콜, 가장 중요한 전통적 TCP/IP 애플리케이션들을 그림을 통해 이해하기 쉽게 설명한다. 또한  IPv6에 대해서도 표와 그림을 통해로"
12,드론 맵핑 Fly High ,임종태,크라운출판사,본 도서는 여러 가지의 프로그램과 측량학 및 GIS 등의 복잡한 과정을 거쳐 얻어지는 결과물인 드론 맵핑에 대해 학습이 어렵고 복잡하게 느껴질 독자들을 위해 탄생했다. 바쁜 일상과 어떻게 시작해야 하는지
13,공간정보학 실습 CD1장포함 ,한국공간정보학회,푸른길,"이론편 『공간정보학』의 실습편으로 실질적으로 공간정보 소프트웨어를 활용하여 데스크톱, 서버, 모바일 GIS를 경험할 수 있도록 실습과 예제로 구성되어 있다. 데이터를 수집, 저장, 관리, 처리하는 것뿐만"
14,네트워크 공격패킷 분석 보안 실무자를 위한 ,방주원,프리렉,"저자의 풍부한 실무 경험을 바탕으로 보안 업무를 담당하고 있는 실무자와 보안에 입문하고자 하는 독자를 위해 쓰였습니다. 이 책은 포트 스캔, DDoS, SMB 해킹, 웹 해킹, RAT 악성 코드, 메일 서버 해킹, 무선랜"
15,가장 빨리 만나는 도커 Docker ,이재홍,길벗,클라우드 플랫폼 어디서나 빠르게 배포하고 실행할 수 있는 리눅스 기반 경량화 컨테이너 [가장 빨리 만나는 도커 Docker ]. Docker만 있으면 언제 어디서나 애플리케이션을 실행할 수 있는 안전한 런타임 환경을
16,시스코 아카데미 패킷트레이서,유인태,경희대학교출판문화원,"시스코 네트워킹 아카데미 프로그램  학습 가이드북 

패킷트레이서 최신 버전 7.2 주요 기능 소개
   
이 책은 국제공인 시스코 네트워킹 아카데미 프로그램 CCNA Cisco Certified Network Associate"
17,IP라우팅 IP Routing  한 권으로 끝내는  개정판 4판  양장본 HardCover ,피터 전,네버스탑,"전통의 IP라우팅 실전 바이블, 피터 전의 『한 권으로 끝내는 IP 라우팅』의 개정4판. 그 동안 새로이 자리를 잡은 신기술들을 반영하는 한편, 실제 네트워크에서 자취를 감춘 기술들은 대폭 줄였다. 또한"
18,"러닝 HTTP/2: 핵심만 쏙쏙, HTTP/2 적용 실무 가이드",스티븐 루딘,한빛미디어,"빠르고 간단하게 HTTP/2를 적용하는 방법! 

1999년 HTTP/1.1이 승인된 이후 웹은 급격히 발전하여 복잡한 페이지를 속도 저하 없이 잘 처리하는 새로운 프로토콜이 필요하게 되었다. 그래서 등장한 HTTP/2는"
19,와이어샤크 트러블슈팅 에이콘 네트워크 프로그래밍 시리즈 ,로라 채플,에이콘출판,『와이어샤크 트러블슈팅』은 네트워크 성능 문제의 원인을 빠르게 찾기 위해 와이어샤크를 활용한 가장 효과적인 네트워크 분석 방법을 제시한다. 1부는 기본적인 4단계 문제 해결 방법론과 문제 해결의 핵심
