순위,제목,저자,출판사,요약
1,음향시스템 핸드북. 4 개정판 4판 ,장호준,BIC 미디어북스,『음향시스템 핸드북』은 음향관련 개론서이다. 저자 자신의 이해와 오랜 시간 실전을 통해 정리된 기술이 초보자부터 전문가에 이르기까지 평이하게 이해될 수 있는 문체로 저술되었다.
2,파일시스템 포렌식 분석,브라이언 캐리어,케이앤피IT,"『파일시스템 포렌식 분석』은 볼륨, 파일시스템에 대한 이론 및 기본 개념을 설명한 후 각 파일시스템을 분석한다. 그리고 각 파일시스템 분석 중에 수사관들이 익혀 두어야 하는 기술과 특별히 고려해야 하는"
3,랜 스위칭. 1 개정판 ,피터 전,네버스탑,"네트워크 분야 전문가 피터 전의 『랜 스위칭』 제1권. 개정판. 최신의 랜 스위칭 기술을 예제를 수록하여 이해하기 쉽게 설명한다. 네트워크를 공부하는 사람들은 물론, 설계와 설치, 그리고 운영하는"
4,랜 스위칭. 2 개정판 ,피터전,네버스탑,최신의 LAN 스위칭 기술을 그림과 예제를 사용하여 상세히 설명한 『랜 스위칭2』. 랜 스위칭 관련 한국 및 미국 특허를 보유하고 있는 저자가 LAN 스위칭 기술을 상세하게 설명하고 있다. 스위치에서 IPv4를
5,라이브사운드 핸드북 반양장 ,박경배,아진,음향엔지니어 실무지침서 『라이브사운드 핸드북』. 음향 입문자들은 물론 공연 관련 종사자들에게 라이브 사운드를 좀 더 친숙하게 이해할 수 있도록 도움을 준다. 전체적인 공연에서 중요한 부분을 차지하고
6,미디어 음향 제7판 ,스탠리 알텐,커뮤니케이션북스,None
7,음향시스템 튜닝과 측정,강성훈,사운드미디어,"『음향시스템 튜닝과 측정』은 음향 튜닝과 청감 테스트에 대한 내용, 음향 측정에 대한 내용, 음향 측정의 실례와 고찰에 대한 내용이 담겨 있다."
8,오디오 기술,강성훈,사운드미디어,▶ 오디오 기술에 관한 내용을 담은 전문서적입니다.
9,음향인을 위한 전기실용강좌,오츠카 아키라,SRMUSIC,"이 책은 최종목적을 ""음향""과 ""음악""에 두고 전기의 기초지식을 정리하고 있다. 옴의 법칙의 진정한 의미, 콘덴서의 작동원리, 임피던스의 본질 등, 개념을 깨닫지 못하면 이해할 수 없는 내용에 중점을 두었다."
10,시스템 해석 Simulink MATLAB을 이용한 ,이상순,홍릉과학출판사,Simulink MATLAB을 이용한『시스템 해석』. 이 교재는 Simulink를 처음 다루는 학생들이 Simulink를 활용하여 동적시스템을 효율적으로 해석하고 설계할 수 있는 능력을 배양하는데 주 목표를 두고 있다.
11,음향 퀵 스타트,최동욱,레오방송아카데미,"'음향퀵 스타트' 는 음향 장비를 처음 접하는 초보자들을 위한 책입니다. 이론은 최소화 하고 그림과 사진을 통해 음향장비를 앞에 놓고 장비를 켜고, 마이크를 설치하고 스피커에서 소리가 날 수 있도록 하는"
