순위,제목,저자,출판사,요약
1,SQL 전문가 가이드 2013 Edition  양장본 HardCover ,한국데이터산업진흥원,한국데이터산업진흥원,SQL전문가 가이드는 SQL 자격검정 대비 수험서로 데이터베이스와 데이터 모델링에 대한 지식을 바탕으로 최적의 성능을 발휘할 수 있도록 SQL을 작성하고 데이터베이스 프로그램이나 응용 소프트웨어의 성능을
2,데이터아키텍처 전문가 가이드 2013  양장본 HardCover ,한국데이터베이스진흥원 편집부,한국데이터베이스진흥원,"『데이터아키텍처 전문가 가이드 2010 Edition』은 데이터아키텍처 전문자격 DAP, Data Architecture Professional  대비 수험서다."
3,모두의 SQL,김도연,길벗,"난생처음 SQL로 데이터를 분석하고 가공해야 한다면? 
초보자와 비전공자를 위한 가장 쉬운 SQL 입문서

인터넷이 발전하고 페이스북과 같은 소셜 미디어가 활성화되면서 데이터로 모든 것을 말하는 시대가"
4,친절한 SQL 튜닝 개발자를 위한 SQL 튜닝 입문서 ,조시형,디비안 주  DBian ,책 제목은 필자가 애청하는 라디오 프로그램 ‘손에 잡히는 경제’ 중 ‘친절한 경제’라는 코너에서 착안했다. 어려운 경제 이슈를 일반인 눈높이에 맞게 풀어서 설명해 주는 진행자를 보면서 “나도 SQL 성능
5,불친절한 SQL 프로그래밍,정희락,디비안 주  DBian ,"이미 수많은 SQL 책이 출간되어 있지만 기초적인 내용만 다루는 ""친절한"" 책이 대부분이다. 기초적인 내용만 다루다 보니 막상 필요한 고급 기능은 인터넷에서 찾아야 하는 아쉬움이 있다. SQL 프로그래밍의"
6,SQL 첫걸음,아사이 아츠시,한빛미디어,"본격적인 빅데이터 시대에 접어들면서 기존 대비 더 효율적이고 폭넓은 데이터 분석을 위한 수요가 커질 것으로 기대되는 가운데, SQL 활용 범위 역시 더욱 확대될 전망이다. 그 과정에서 취업 준비생이나 일반"
7,인스파이어드,마티 케이건,제이펍,"왜 어떤 제품은 ‘대박’을 터트리고 어떤 제품은 그러지 못할까?

인터넷 산업의 초기 시절에는 한 회사가 어느 지역에 위치했는지가 그 회사가 일하는 방식에 큰 영향을 미쳤습니다. 하지만 오늘날 지역은 큰"
8,누구나 쉽게 SQL,홍형경,길벗,"- SQL을 쉽게 배울 수는 없을까? -> 쉽다! 옆자리 선배에게 1:1 코칭을 받는 듯!
- 어느 정도 알아야 SQL의 기본을 안다고 말할 수 있을까? -> 이 책의 내용만 다 이해하자!
데이터베이스의 기초부터 SQL"
9,SQL 개발자 Developer 이론서+문제집 2019  이기적 ,임호진,영진닷컴,본 도서는 한국데이터진흥원에서 시행하는 ‘SQL 개발자 Developer ’ 자격의 합격을 위한 도서입니다. SQLD 시험의 출제 기준과 출제된 기출문제를 분석하여 핵심 내용만 엄선하였습니다. 과목과 섹션마다 개념을
10,Amazon Redshift,김현준,에이콘출판,아마존에서 제공하는 데이터 웨어하우스 서비스인 아마존 레드시프트를 처음 접하는 독자를 위한 책이다. 먼저 레드시프트 클러스터의 아키텍처를 자세히 설명한다. 다음으로 AWS 콘솔에서 클러스터를 생성하고
11,오라클 실전 튜닝. 2 Perfect ,권순용,엑시엄,『오라클 실전 튜닝』 제2권은 최신에 출시된 오라클 신규 버전의 기능 중 유용한 부분을 보강하였고 오랜 실무 경력을 바탕으로 한 Tunning Tip을 대거 수록하여 실무에 바로 적용할 수 있도록 구성한 책이다. 이
