순위,제목,저자,출판사,요약
1,비됴클래스 하줜의 유튜브 동영상 편집 with 프리미어 프로,하지원,한빛미디어,"유튜브에서 누구나 1인 크리에이터에 도전할 수 있는 시대, 다른 사람보다 앞서 나가기 위해 프리미어 프로 같은 동영상 편집 프로그램을 다루는 것은 필수가 되었습니다. 하지만 유튜버가 되기 위해 프리미어"
2,맛있는 디자인 프리미어 프로 & 애프터 이펙트 CC 2019 ,김덕영,한빛미디어,"프리미어 프로&애프터 이펙트를 제대로 배우는 가장 완벽한 레시피!
한 권으로, 한 번에! 쉽고 빠르게 익혀 바로 써먹는 그래픽 입문서!

영상 제작과 편집에 꼭 필요한 프리미어 프로와 애프터 이펙트를 한"
3,YouTube 유튜브로 돈 벌기 전면개정판 ,이혜강,길벗,"'유튜브 스타'가 직접 알려주는 유튜브로 돈 버는 방법 『유튜브로 돈 벌기』. 내가 좋아하는 나만의 콘텐츠를 기획하고, 영상으로 만들어 유튜브에 올려보자. 취미생활뿐만 아니라 경제활동도 동시에 할 수 있는"
4,프리미어 프로 & 애프터 이펙트 CC 무작정 따라하기 2019 ,신의철,길벗,《프리미어 프로 & 애프터 이펙트 CC 2019 무작정 따라하기》는 영상 제작 및 편집과 모션 그래픽 디자인에 꼭 필요한 핵심 기능을 이론과 다양한 실습으로 구성하여 소개한다. 누구나 쉽게 영상 편집 및 디자인의
5,유튜브 크리에이터 쉽게 시작하기,강민형,디지털북스,"유튜브 크리에이터를 시작하기 위해 알아야 할 모든 것이 담겨있다. 먼저 유튜브 채널을 만들고 콘텐츠를 기획하고 촬영하고 편집하는 방법, 나아가 채널 성장을 위해 알아야 할 내용과 수익을 위한 애드센스 연결"
6,업무와 일상을 정리하는 새로운 방법 Notion,이해봄,제이펍,Notion을 처음 접하는 개인 사용자부터 실무에서 협업 도구로 활용하려는 직장인까지 누구나 쉽게 배울 수 있도록 체계적으로 구성한 『업무와 일상을 정리하는 새로운 방법 Notion』. 우리의 일상과 업무 환경은
7,"유튜브, 이젠 나도! 유튜버",전은재,성안당,"유튜버 이용자 수 19억 명, 이제 유튜브는 세계에서 가장 커다란 영상 공유 플랫폼으로 자리 잡았다. 유튜브에서는 내 일상을 공개하는 브이로그부터 내가 관심 있는 다양한 주제를 동영상으로 만들어 같이 즐기고"
8,프리미어프로CC 2019 무작정 따라하기,이현석,길벗,언제 어디서나 자유자재로 활용할 수 있는 프리미어 프로 CC 2019는 이전의 어떤 버전보다 강력한 성능을 자랑합니다. 현실의 미디어 기술을 소프트웨어에 반영하여 영상 편집 도구로서 큰 역할과 기능을 담당하는
9,댄서소나의 틱톡 한 권으로 끝내기,댄서소나,베가북스,"대한민국을 뜨겁게 달구고 있는 ‘틱톡 TikTok ’은 짧게는 15초, 길게는 1분 정도의 모바일 동영상을 올릴 수 있는 글로벌 쇼트 비디오 애플리케이션이에요. 때와 장소를 가리지 않고 내가 찍은 멋진 영상을"
10,시작하세요!  Final Cut Pro X 10.4 개정증보판  Mac & Life 시리즈 8 ,박경인,위키북스, 
