순위,제목,저자,출판사,요약
1,Do it! 안드로이드 앱 프로그래밍 전면개정판 6판 ,정재곤,이지스퍼블리싱,"8년 연속 안드로이드 분야 1위!
Do it! 안드로이드 앱 프로그래밍이 새 옷을 갈아입고 돌아왔다!
《Do it! 안드로이드 앱 프로그래밍》의 6번째 전면 개정판이 나왔습니다. 이번 개정판은 그동안 발전한"
2,깡샘의 안드로이드 프로그래밍,강성윤,루비페이퍼,"이 책은 각 챕터마다 안드로이드 프로그램과 각 기능이 어떠한 구조로 어떻게 작동하는지 그 원리를 파악하는 데 주력합니다. 그리고 이를 구현하는 핵심 코드를 알아본 다음, 이를 종합하여 실제 상용 앱에서"
3,돈 되는 안드로이드 앱 만들기,조상철,영진닷컴,"이 책은 안드로이드 앱 개발에 필요한 자바 문법과 안드로이드 스튜디오 설치 과정을 설명하고, 안드로이드 앱을 직접 만들고 play스토어에 앱 등록하기까지 한 권으로 설명합니다.  Layout, View, Fragment 등 앱"
4,스무디 한 잔 마시며 끝내는 React Native,김정헌,비제이퍼블릭,"최근 서비스를 개발하기 위해서는 웹뿐만 아니라 iOS, 안드로이드 앱을 제공해야 한다. 이 모든 것을 하나의 언어로 개발할 수 있으면 얼마나 좋을까? 이 질문에 대한 최고의 대답이 이 책에 담겨 있다. 이 책을"
5,하루 만에 배우는 안드로이드 앱 만들기 2판 ,서창준,영진닷컴,"어려운 프로그래밍에 대해 모르는 왕초보여도 안드로이드 앱을 만들 수 있을까요? 물론! 프로그래머가 아니어도, 어려운 프로그래밍 코드를 몰라도 누구나 쉽게 앱을 만들 수 있습니다. 이 책은 안드로이드"
6,오준석의 안드로이드 생존코딩: 코틀린 편 소문난 명강의 ,오준석,한빛미디어,"이 책은 기본을 빠르게 익히고 나서 현업에서 사용하는 라이브러리와 프레임워크로 앱을 효과적으로 만드는 방법을 알려주는 입문 + 활용서입니다. 코틀린을 몰라도, 안드로이드를 몰라도 안드로이드 앱을 만들 수"
7,Kotlin in Action 모바일 프로그래밍  Paperback ,드미트리 제메로프,에이콘출판,코틀린이 안드로이드 공식 언어가 되면서 관심이 커졌다. 이 책은 코틀린 언어를 개발한 젯브레인의 코틀린 컴파일러 개발자들이 직접 쓴 일종의 공식 서적이라 할 수 있다. 코틀린 언어의 가장 큰 특징이라면
8,안드로이드 스튜디오를 활용한 실전 앱 만들기 자바 기초부터 앱 출시까지 ,조상철,영진닷컴,자바 기초부터 앱 출시까지 한 권으로 배우는 ‘안드로이드 스튜디오를 활용한 실전 앱 만들기’ 『안드로이드 스튜디오를 활용한 실전 앱 만들기』는 최신 Android 8.0 버전과 Android Studio 3.0 최신 버전을
9,Do it! 스위프트로 아이폰 앱 만들기 입문  개정판 3판 ,송호정,이지스퍼블리싱,▶ 이 책은 모바일프로그래밍을 다룬 이론서입니다. 모바일프로그래밍의 기초적이고 전반적인 내용을 학습할 수 있습니다.
10,안드로이드 with Kotlin 앱 프로그래밍 가이드 애프터스킬 시리즈 ,안귀정,아이콕스,"자바와 코틀린으로 직접 구현하며 익히는 실전형 앱 프로그래밍 완벽 가이드!
안드로이드 9.0 파이 Pie , Java+Kotlin, 안드로이드 스튜디오 3.2, 실전형 앱 프로젝트
로또번호생성기, 퀴즈잠금화면앱,"
11,구글 클라우드 플랫폼 인 액션 실습으로 완성하는  제이펍의 클라우드 시리즈 19 ,제이 제이 지웍스,제이펍,"전 세계의 수많은 개발자가 구글 클라우드 플랫폼을 신뢰한다. 이 구글 클라우드 플랫폼을 통해 검색을 할 수 있고, 지도 기능을 사용할 수 있으며, 일반적으로 사용하는 도구로 인프라에서 애플리케이션을"
12,앱인벤터+아두이노 스마트폰 앱 프로젝트 블루투스 와이파이 통신을 이용한 ,우지윤,디지털북스,"앱인벤터로 스마트폰 앱을 직접 만들고 아두이노와 연동하는 11가지 프로젝트 수록
생활 속 스마트 제품을 아두이노와 앱인벤터를 통해 직접 만들고 싶은 분께 추천!

2018년을 맞아 드디어 우리나라에서도"
13,리액트 네이티브 인 액션,네이더 다빗,프리렉,리액트 네이티브는 모바일과 웹 개발자들에게 이 프레임워크가 가진 이점으로 효율성과 생산성을 빠르게 높일 수 있는 힘을 부여합니다. 우리가 만든 앱을 iOS와 Android 그리고 웹에 쉽게 배포합니다. 리액트
14,파이어베이스 안드로이드 기반  백견불여일타 ,남진하,로드북,"이 책은 파이어베이스의 거의 모든 서비스를 실습 과정을 통해 빠르게 배울 수 있도록 하는 데 목표를 두었다. 자체 서버 시스템 구축 없이 쉽게 인증 작업을 할 수 있고 사용자 모니터링, 콘텐츠 저장과 호스팅"
15,프로페셔널 안드로이드 4판  제이펍의 모바일 시리즈 37 ,리토 마이어,제이펍,"초판 출간 후 10년 동안 업데이트를 거쳐 안드로이드 개발자의 바이블로 자리 잡은 바로 그 책!
플랫폼의 다양한 기능을 바탕으로 안드로이드 개발의 모든 것을 집대성한 결정판!

초판 출간 후 10년! 완전히"
16,구글 클라우드 플랫폼 입문,아사 시호,프리렉,구글 클라우드 플랫폼의 기능과 시스템 구축 패턴! 이 책은 구글 클라우드 플랫폼 GCP 으로 시스템이나 애플리케이션을 구축하는 데 도움을 주는 실천적인 입문서입니다. GCP를 처음 이용하는 개발자를 주
17,커니의 코틀린: 차세대 안드로이드 개발자를 위한,김태호,인사이트,안드로이드 애플리케이션을 자바로 만들어야 하는 이상 어쩔 수 없이 감내해야 했던 많은 문제의 해결책이 이제 눈앞에 보입니다. 바로 코틀린을 활용하는 것입니다. 코틀린은 자바와 100% 호환이 가능하기 때문에
18,앱 인벤터 swedu 7 ,이종원,한빛아카데미,"컴퓨팅 사고력을 키우는 소프트웨어 교육, 앱 인벤터로 시작하세요.

지금까지 프로그래밍을 접해보지 않았더라도 앱 인벤터로 블록을 조립하면서 나만의 안드로이드 앱을 만들다 보면 프로그래밍의 기본"
19,앱 인벤터로 나만의 앱 만들기 생자소 시리즈 ,CODABLE 코더블 ,해람북스 구 북스홀릭 ,『앱 인벤터로 나만의 앱 만들기』는 구글과 MIT 미디어 랩에서 누구나 쉽게 자신이 원하는 안드로이드 스마트 폰 앱을 직접 만들어 사용할 수 있도록 만든 앱 인벤터를 통해 초보자도 쉽게 이해하고 앱을 구현할
20,꼼꼼한 재은 씨의 스위프트: 기본편 꼼꼼한 재은 씨의 스위프트 시리즈 2 ,이재은,루비페이퍼,"이 책은 꼼꼼한 재은 씨의 스위프트 시리즈 중 두 번째 순서로, 최근 발표된 스위프트 4.0을 기준으로 iOS 앱 제작 과정을 학습합니다. 코코아 터치 프레임워크를 다루는 방법을 익히고, 스토리보드를 이용하여"
21,코딩스쿨 앱인벤터 앱 프로그래밍 기초,렉스기획팀,렉스미디어,앱 인벤터란? 구글과 MIT 미디어 랩에서 복잡한 프로그래밍 언어 대신 퍼즐처럼 조립할 수 있는 블록을 이용해 초보자도 쉽게 안드로이드 앱을 만들 수 있게 도와주는 웹 기반의 앱 개발 도구이다. 일상생활에서
22,드론 나혼자 코딩,문근민,디지털북스,"코드론2 출시정보를 담았습니다! 저자가 얼리어답터로 드론을 접하면서 얻은 노하우를 통해 드론이나 코딩을 전혀 알지 못하는 초보자도 쉽게 따라할 수 있는 예제와 드론 조종법, 공역 정보 등 드론을 날릴 때"
23,안드로이드 임베디드 시스템 가이드북 비글보드로 배우는 ,박규호,영진닷컴,"카이스트 전기전지공학과 교수 박규호, 대전대학교 해킹보안학과 교수 박기웅의 『비글보드로 배우는 안드로이드 임베디드 시스템 가이드북』. 비글보드와 함께 안드로이드와 리눅스를 함께 다룬다. 실무에서 꼭"
24,Amazon Web Services로 시작하는 클라우드 입문,WINGS 프로젝트 아사 시호,영진닷컴,이 책은 Amazon Web Services AWS 를 처음으로 사용하는 사람을 위해 업무 시스템에서 널리 활용되는 Java 기반의 Web 시스템을 구축하는 절차를 GUI를 사용하여 설명한 입문서이다. 인프라 구축 경험이 적은 젊은
25,앱 인벤터로 도전! 안드로이드 앱 디벨로퍼,CODABLE 코더블 ,성안당,앱 인벤터는 스마트폰용 앱 프로그래밍 언어의 첫 단계로 최근 주목을 한 눈에 받고 있다. 코더블 Codable 이라는 IT교육 기업이 개발한 이 책은 앱 인벤터로 개발한 앱을 실제로 단계별로 따라 해 보면서 활용할
