순위,제목,저자,출판사,요약
1,스프링 부트와 AWS로 혼자 구현하는 웹 서비스,이동욱,프리렉,"이 책은 제목 그대로 스프링 부트와 AWS로 웹 서비스를 구현합니다. JPA와 JUnit 테스트, 그레이들, 머스테치, 스프링 시큐리티를 활용한 소셜 로그인 등으로 애플리케이션을 개발하고, 뒤이어 AWS 인프라의 기본"
2,네이버 블로그&포스트 만들기 잘 검색되고 방문자가 늘어나는 ,정진수,한빛미디어,"네이버 블로그는 누구나 할 수 있지만, 모두가 잘할 수는 없습니다. 잘 검색되고 방문자가 늘어나는 블로그로 만들려면 검색 알고리즘을 이해하고, 탄탄한 콘텐츠를 수록하는 등 체계적으로 블로그를 운영해야"
3,네이버 스마트스토어 만들기 누구나 따라하는 ,권혁중,디지털북스,"〈네이버 스마트스토어 만들기〉는 최대 검색 엔진 네이버에서 제공하는 쇼핑몰, 네이버 스마트스토어 제작과 관리 방법을 한 권으로 엮었다. 스마트스토어 입점 방법, 판매나 배송 등의 실무나 쇼핑몰을 위한"
4,아마존 월 매출 1억 만들기 혼자서도 할 수 있는  개정증보판 3판 ,장진원,앤써북,"이번 개정판은 아마존 판매 전략은 물론 아마존 재팬에서 제대로 판매할 수 있도록 “Chapter 07 아마존 재팬 제대로 판매하기”를 추가하였고, 그 외 아마존의 개편된 최신 정책에 맞추어 전체적으로 내용이"
5,알리바바 도 소매 해외직구 혼자서도 할 수 있는 ,이중원,앤써북,"<<혼자서도 할 수 있는 알리바바 도소매 해외직구>>
국내 온/오프라인 도매 마켓에서 상품을 소싱해서 판매할 경우 수익이 거의 남지 않는다. 그 이유는 뭘까? 바로 유통 과정에서 발생하는 ‘중간 마진’"
6,Data-Driven UX,포그리트,포그리트,"Data-Driven UX : 데이터가 두려운 실무자를 위한 입문서

경험과 추측이 아닌 데이터에 근거하여 의사결정을 하고
성과를 창출해 나가는 UX를 ‘데이터 드리븐 UX’라 부릅니다.
이 책은 데이터 분석이"
7,새로운 디자인 도구들,이정주,인사이트,"《새로운 디자인 도구들》은 제품이나 서비스를 디자인할 때 사용자 경험 중심의 디자인을 도출하기 위한 방법론을 설명한 책으로, 다양한 분야에서 활용되고 있는 ‘디자인 툴킷’들의 사용법을 다루고 있다. 이"
8,cafe24로 쇼핑몰 정복하기! 2018  개정판 ,카페24,카페24,[ cafe24로 쇼핑몰 정복하기!  2018  ]는 150만 카페24 사용자와 예비 창업자들이 꼭 알아야 할 핵심 기능과 함께 글로벌 전자상거래 변화에 맞춰 새롭게 추가된 기능과 내용을 가득 담았다. 책은 창업 준비부터
9,쇼핑몰 창업&마케팅 누구나 따라하는 ,권혁중,디지털북스,"4차산업혁명 시대에 쇼핑몰 전자상거래업 은 뜨는 직업으로 성장하고 있다. 이 책은 쇼핑몰 창업뿐만 아니라 쇼핑몰 취업을 준비하는 취준생까지 모두 읽어야할 필독서이다. 저자는 대학교수, 쇼핑몰 마케팅 법인"
10, 사용자를  생각하게 하지 마! UX insight 12 ,스티브 크룩,인사이트,"[사용자를 생각하게 하지 마!]는 사용자가 자신이 보고 있는 것이 무엇인지, 그리고 사용법은 어떻게 되는지를 과한 수고를 들이지 않고도 자명하게 이해하게 하는 방법 등 웹 사이트를 명료하게 만드는 사용성"
11,만들면서 배우는 워드프레스,박현우,한빛미디어,워드프레스 분야 1위 도서인 [만들면서 배우는 워드프레스]가 최신 버전을 반영하여 개정판으로 돌아왔다! 한국어 웹사이트 및 블로그의 절반 이상이 워드프레스로 만들어질 정도로 여전히 워드프레스는 온라인
12,쇼핑몰 오픈마켓 네이버 스마트스토어 종합쇼핑몰 상세페이지 제작 개정판 3판 ,김대용,앤써북,『상세페이지 제작』의 세 번째 전면 개정판이 나왔다! 이번 3판에서는 네이버 스마트스토어 상세페이지 제작 실습 노하우와 ESMPLUS 2.0 & 이베이에디터의 새로운 기능과 실습을 모두 담았다. 디자인만 잘 한다고
13,모바일 UI/UX 디자인 실무 IT CookBook 237 ,이영주,한빛아카데미,"iOS와 안드로이드의 개발자 가이드를 바탕으로 앱 구성 요소별 디자인 가이드라인을 소개하고, 실제 구현해 볼 수 있도록 포토샵 예제를 제공합니다. iOS와 안드로이드는 지향하는 디자인 콘셉트뿐만 아니라 UI"
14,SNS 마케팅 디자인 무작정 따라하기 포토샵으로 1시간 만에 완성하는 ,신희정,길벗,포토샵을 못해 늘 바쁜 디자이너만 바라보며 시안 언제 나오나 오매불망 기다렸던 웹마케터. 그렇게 기다려 시안을 받았는데 꼭 수정하고 싶은 부분이 생긴다. 하지만 디자이너는 바쁘고... 일정은 촉박하고...
15,모바일 UX 디자인,파블로 페레아,에이콘출판,"인상적인 경험을 제공하는 모바일 앱을 만드는 방법은 무엇일까? 저자는 이 질문의 답이 고객의 실제 니즈를 토대로 아이디어를 떠올리고, 이를 반복적인 테스트를 거쳐 최적의 솔루션으로 구현하는 것이라고"
16,동남아시아와 대만 크로스보더 이커머스 쇼피에서 10억 벌기,이태현,휴먼하우스,"쇼피 Shopee 는 동남아시아 6개국과 대만에 현지 플랫폼이 있는, 세계 최초 모바일 중심의 마켓플레이스이다. 한국의 글로벌셀러들에게 쇼피는 무료 수수료, 배송비 지원 프로모션을 실시하면서 이들 나라에"
17,"이토록 쉬운 스케치 시작의 기술, 이토록 쉬운 시리즈 2 ",서한교,루비페이퍼,None
18,페이스북 퍼포먼스 마케팅 with 구글 애널리틱스,전민우,비제이퍼블릭,고도화된 디지털 마케팅이라도 고객의 행동을 관찰하고 니즈를 파악하는 일은 여전히 중요하다. 보이지 않는 고객의 행동과 성과를 마치 두 눈으로 관찰하듯 디지털 마케팅에서 데이터 분석과 이를 활용한 마케팅
19,답답해 죽느니 내가 직접 만드는 SNS콘텐츠  with 망고보드,엄혜경,애드앤미디어,"망고보드에 대해 우리나라에서 처음 나온 매뉴얼 책 

망고보드는  “누구나 디자인을 손쉽게 할 수 있는 디자인 플랫폼 망고보드. 누구나 디자이너가 된다.” 
슬로건으로 디자인에 필요한 재료와 편집기,"
20,쇼핑몰 창업 운영 무작정 따라하기 CD1장포함 ,조은주,길벗,『쇼핑몰 창업 운영 무작정 따라하기』는 쇼핑몰 창업 및 제작 컨설턴트로 활동 중인 '마리웹' 대표 조은주가 성공적인 인터넷 창업을 위한 180가지 핵심 노하우를 안내한 책이다. 쇼핑몰 창업 준비부터 운영에
21,웹 사이트 따라 만들기 Do it! ,김윤미,이지스퍼블리싱,"HTML, CSS, 자바스크립트 문법서는 공부했지만 웹 사이트를 만들려고 막상 키보드 위에 손을 올려놓으면 코드 한 줄도 못 쓰는 독자들을 위해서 이 책이 만들어졌습니다. 이 책에서는 웹 어워드 코리아에서 대상"
22,해외직구 구매대행 병행수입으로 글로벌셀러 창업 & 운영하기,안영신,휴먼하우스,글로벌셀러 분야 베스트셀러 1위! 하루가 다르게 변화하고 있는 시대에 글로벌셀러 사업도 시시각각 바뀌고 있다. 이번 개정증보판에서는 새롭게 바뀐 글로벌셀러 관련 사업과 시장을 이끌어가는 트렌드를
23,글로벌셀러 아마존 판매 실전 바이블 한 권으로 끝내는 ,최진태,앤써북,"『글로벌셀러 아마존 판매 실전 바이블』책에는 글로벌 전문셀러이자 스타 강사인 저자의 아마존 판매 15년 노하우와 내공이 모두 담겨 있다. 
책은 아마존셀러의 실제 창업 절차 그대로 글로벌셀링 전 과정을"
24,네이버 스마트스토어 마케팅,이동화,예문사,"“성공적인 운영을 위한 트렌드 분석과 기획, 마케팅까지 한권으로 마스터하기” 
매출 대박을 꿈꾼다면 검색 포털 점유율 80%의 네이버 스마트스토어를 주목하라!
4,200만 명의 회원수를 보유한 검색 포털"
25,하마터면 글로벌셀러 할 뻔했다,방선영,정보문화사,"글로벌셀러가 쉬워 보이나요?

이 책은 현재 셀러 활동을 하는 자들을 위한 것이 아니다. 글로벌셀러가 매력적인 일이라고 생각하지만, 절대 쉽지 않음을 이야기하기 때문에 이 글을 읽으면, 글로벌셀러라는"
26,UI/UX 디자인 이론과 실습 NCS를 기반으로 한  IT CookBook 265 ,이영주,한빛아카데미,"이론과 실습으로 구현하는 UI/UX 디자인

이론과 실습을 병행하면서 UI/UX 디자인을 학습할 수 있도록 구성했습니다. 총 2부로 나누어 1부에서는 UI/UX 디자인을 이해하기 위해 필요한 이론을 배우고, 2부에서는"
27,웹툰 기획 무작정따라하기,최이지,길벗,창작 분야 전반에서 근근이 활동하며 Daum에서 웹툰을 연재 중인 작가 최이지씨. 이 책은 자신이 웹툰 작가가 되기 위해 고군분투했던 시절에 모아놓은 노하우를 담은 책이다. 머릿속 상상력을 웹툰 소재로 바꿀
28,더 많은 매출과 순위를 올리는 완벽한 전략 아마존 셀러의 비밀,정영훈,휴먼하우스,아마존은 무턱대고 시작하면 안 되는 시장이다. 계정정지 없이 안정적으로 꾸준한 매출을 올리기 위해서는 처음부터 제대로 알고 정석대로 시작해야 한다. 이 책은 누구나 한번은 받게 되는 셀러 확인 절차를
29,오픈마켓 창업 & 마케팅 핵심 전략 혼자서도 할 수 있는  개정판 3판 ,김덕주,앤써북,"이 책은 ‘혼자서도 할 수 있는 오픈마켓 창업 & 마케팅 핵심 전략’의 전면 개정 3판 도서이다. 개정 3판에서는 매출을 올리는 핵심 노하우를 전격 공개하였고, 4대 오픈마켓 최신 트렌드 정책 및 기능을"
30,이베이ebay 해외판매 역직구 with 페이팔 PayPal 혼자서도 할 수 있는 ,최일식,앤써북,"이베이 해외 판매 역직구 창업을 바로 시작할 수 있게 8단계로 아주 리얼하게 설명한다.

이 책은 영어를 잘 모르는 왕초보자가 이베이에서 매우 잘 판매하는 파워셀러가 될 수 있도록 전 과정을 리얼하게"
