순위,제목,저자,출판사,요약
1,리액트를 다루는 기술 개정판 ,김민준,길벗,<리액트를 다루는 기술> 개정판이 나왔습니다. 리액트 16.8 버전에 Hooks라는 기능이 도입되면서 함수형 컴포넌트에서도 상태 관리를 할 수 있게 되었습니다. 이에 맞춰 책에 사용된 주요 예시를 모두 함수형
2,생활코딩! HTML+CSS+자바스크립트 위키북스 러닝스쿨 시리즈 3 ,이고잉,위키북스,"난생 처음으로 프로그래밍을 시작하는 분들이라면 생활코딩 강의로 시작하세요! 

이고잉 님의 HTML/CSS/자바스크립트 강의는 이미 많은 분들에 의해 검증받은 독창적인 강의로 손꼽히고 있습니다. 단순히"
3,구글 애널리틱스 실전 활용법 현직 구글 애널리틱스 컨설턴트가 알려주는 ,김동우,디지털북스,"구글 애널리틱스 실전 활용을 위한 핵심 팁을 담았다!
현직 분석 컨설턴트가 알려주는 데이터 수집 및 분석 노하우!
구글 애널리틱스 자격증 취득을 위한 문제풀이 및 정답까지!
 
구글 애널리틱스는 전"
4,코어 자바스크립트 프로그래밍 & 프랙티스 시리즈 20 ,정재남,위키북스,"최근 웹 개발 진영은 빠르게 발전하고 있으며, 그 중심에는 자바스크립트가 있다고 해도 결코 과언이 아닙니다. ECMAScript2015 시대인 현재에 이르러서도 ES5에서 통용되던 자바스크립트의 핵심 이론은 여전히"
5,러닝 자바스크립트,이선 브라운,한빛미디어,"이 책은 ES6를 포함하여 최신 자바스크립트 개발을 주도하는 언어 특징과 기술, 관련 도구, 패러다임을 포괄적으로 다룬다. 변수나 제어 흐름, 함수와 같은 단순하고 직관적인 주제뿐만 아니라, 비동기"
6,웹 앱 API 개발을 위한 GraphQL 프로그래밍인사이트 ,이브 포셀로,인사이트,"“선언형 데이터 페치 방법과 GraphQL 서비스 핵심 가이드”
GraphQL은 REST API와 비교해 데이터를 가져오는 기능이 훨씬 우수하여 웹 앱 API의 새로운 지평을 열었다고 평가받고 있으며, 이를 활용하는 기업도"
7,Node.js 교과서,조현영,길벗,"서버와 데이터베이스 개념을 시작으로 노드의 기본 개념을 차근차근 설명해나간다. 군더더기 없는 직관적인 설명, 풍부한 그림으로 기본 개념을 확실히 이해하고, 노드의 기능과 생태계를 사용해보며 실제로"
8,Do it! Vue.js 입문,장기효,이지스퍼블리싱,실무자 3일 완성! 입문자 7일 완성! 바쁜 개발자의 시간 절약 입문서! 실무의 정글 속에서 살아남기 위한 실전 예제형 Vue.js 입문서! 이 책은 Vue.js 실무 개발 경험을 바탕으로 입문자 대상 강의를 수차례
9,인사이드 자바스크립트,송형주,한빛미디어,"이 책의 목적은 자바스크립트의 핵심 원리, 언어적 특성을 정확하고 알기 쉽게 설명하는 것이다. 물론 이 책이 자바스크립트의 모든 것을 다룬 바이블은 아니다. 그러나 자바스크립트를 제대로 공부하고자 하는"
10,당신이 지금 알아야 할 AWS,이영호,비제이퍼블릭,클라우드나 AWS에 대한 지식은 인터넷에서 몇 번 클릭하는 것만으로도 다양하게 얻을 수 있습니다. 하지만 다른 IT 분야가 그렇듯 시작하려면 여러 기술적인 어려움에 마주하게 됩니다. 최근 AWS에 대한 기술
11,최범균의 JSP 2.3 웹 프로그래밍: 기초부터 중급까지,최범균,가메,"[최범균의 JSP 2.3 웹 프로그래밍 기초부터 중급까지]는 JSP 2.3의 새로운 특징 반영과 JSP를 지원하는 요소인 서블릿과 표현 언어 등의 새로운 버전을 반영한 책이다. 책은 JSP 초보자를 위한 웹 개발 기초, JSP"
12,구글 애널리틱스 고객이 보이는 ,문준영,한빛미디어,"구글 애널리틱스는 웹 로그 분석 도구입니다. 사용자 친화적인 홈페이지를 만들고 싶은 기획자와 디자이너부터 상품 구매를 더 많이 유도하고 싶은 마케터까지, 누구나 쉽게 구글 애널리틱스로 웹 로그를 분석해"
13,모던 웹을 위한 HTML5+CSS3 바이블 3판 ,윤인성,한빛미디어,"HTML5, CSS3를 배우는 것보다 더 중요한 것은 그것을 이용해 웹 페이지를 구현하는 것입니다. 이 책은 HTML5 표준과 CSS3 표준을 사용하여 웹 페이지를 구현하는 방법을 중심으로 설명합니다. 웹 페이지 레이아웃,"
14,코드로 배우는 스프링 웹 프로젝트 개정판 ,구멍가게 코딩단,남가람북스,"이 책은 Spring Framework 이하 스프링 를 사용해서 말 그대로 ‘웹 프로젝트’를 어떻게 진행하는지를 설명하는 책입니다. 웹 프로젝트라고 거창하게 표현하지만, 좀 더 구체적으로는 스프링으로 웹 프로젝트에서"
15,Microsoft Power BI 기본+활용,정홍주,시대인,"Power BI를 제대로 배우고 익힐 수 있도록 
“기본”은 따라하기 방식으로 쉽게, “활용”은 좀 더 자세히, 다양하게!

이 책을 통해 Power BI의 기본 기능과 전반적인 흐름을 이해하고, 심화 기능을"
16,Vue.js 코딩 공작소,에릭 한쳇,길벗,Vue.js는 웹 애플리케이션에서 사용자 인터페이스 UI 를 만들기 위한 자바스크립트 프레임워크다. 다른 단일형 프레임워크와 달리 점진적으로 채택할 수 있게 설계되어 웹 애플리케이션의 일부분에만 적용하다가
17,모던 자바스크립트 입문,이소 히로시,길벗,"ES6로 배우는 모던 자바스크립트 입문
자바스크립트는 HTML, CSS와는 달리 변수, 함수처럼 프로그래밍 기초 개념부터 짚어가며 익혀야 한다. 기초 문법부터 ES6, 정규 표현식, 객체 지향 및 함수형 프로그래밍,"
