순위,제목,저자,출판사,요약
1,정보처리기사 필기 2020  시나공 ,길벗알앤디,길벗,정보처리기사 시험은 NCS 학습 모듈 중 정보통신 분야의 ‘정보기술’ 분류에 포함된 ‘정보기술개발’과 ‘정보기술운영’에 속한 125개의 학습 모듈을 기반으로 하고 있습니다. 〈2020 시나공 정보처리기사
2,컴퓨터활용능력 1급 필기 2020  시나공 총정리 ,길벗R&D,길벗,"시험 날짜는 다가오는데 공부할 시간이 없다면? 시나공 총정리 시리즈!
합격에 꼭 필요한 핵심 개념을 짧게 공부하고 기출문제로 바로 확인시켜 지루하지 않게 학습할 수 있습니다.

<핵심요약 & 대표기출문제"
3,해커스 전산회계 1급 이론+실기+기출문제 2019  개정판 ,이남호,해커스금융,"1. 최신 기출 경향을 완벽 반영한 2019년 최신개정판
 
2. 이론과 실기를 한 번에 잡는 이론+실기 연계학습
 
3. 따라만 해도 누구나 합격 가능한 실기 KcLep 케이렙 프로그램  구성
1  출제경향 파악을 통해"
4,컴퓨터활용능력 1급 실기 2020  시나공 ,길벗R&D,길벗,"엑셀, 액세스의 방대한 기능 중 시험에 꼭 나오는 기능을 26개 섹션으로 압축하고, 쉽게 익힐 수 있도록 따라하기 형식으로 구성하였습니다. 각 섹션마다 출제된 비율에 따라 A, B, C, D 등급을 지정하여 중요한"
5,해커스 전산세무 2급 이론+실기+기출문제 2019  개정판 ,이남호,해커스금융,"- 독자대상 : 전산세무 학습자
- 구성 및 특징 :
① 최신 기출 경향을 완벽 반영
② 이론+실기+기출문제까지 한 권으로 끝
③ 이론+실기 연계해서 한 번에 학습하는 효과적 구성"
6,컴퓨터활용능력 2급 필기 2020  시나공 총정리 ,길벗R&D,길벗,"시험 날짜는 다가오는데 공부할 시간이 없다면? 시나공 총정리 시리즈!
합격에 꼭 필요한 핵심 개념을 짧게 공부하고 기출문제로 바로 확인시켜 지루하지 않게 학습할 수 있습니다.

<핵심요약 & 대표기출문제"
7,컴퓨터활용능력 2급실기 2020  시나공 ,길벗R&D,길벗,"엑셀의 방대한 기능 중 시험에 꼭 나오는 기능을 16개 섹션으로 압축하고, 쉽게 익힐 수 있도록 따라하기 형식으로 구성하였습니다. 각 섹션마다 출제된 비율에 따라 A, B, C, D 등급을 지정하여 중요한 내용을"
8,전산세무 1급 법인세 이론+실기+기출문제 2019  해커스 ,이남호,해커스금융,"온라인 금융 교육 1위, 해커스금융의 전산세무 1급 대비서!
따라만 하면 한 번에 합격!

[이런 분에게 추천합니다]
1. 전산세무 1급 단기 합격을 목표로 하는 분들
2. 한 권으로 이론+실기+기출문제를 다"
9,컴퓨터활용능력 2급 필기 최신 문제집 2020  이기적 ,홍태성,영진닷컴,‘2020 이기적 컴퓨터활용능력 2급 필기 최신 문제집’이 새롭게 출간되었습니다. 본 도서는 컴퓨터활용능력 시험을 가장 효율적으로 준비할 수 있도록 구성되었습니다. 최신 기출문제부터 다년간의 기출문제
10,정보보안기사 산업기사 2020  세트 전4권 ,조현준,탑스팟,"정보보안기사의 전신인 SIS 자격증이 전공/보안실무자 위주의 자격증이었던 것에 비해, 2013년부터 국가공인으로 승격 시행되는 정보보안기사 자격증은 비전공자도 응시할 수 있도록 자격이 완화되었다. 하지만,"
11,워드프로세서 실기 2020  시나공 ,길벗R&D,길벗,"시험에 꼭 나오는 기능만 17가지로 압축하여 따라하기 형식으로 구성하였으며, 상공회의소에서 출제기준으로 공지한 A, B, C형을 완벽하게 분석하여 어떤 유형이 나와도 당황하지 않을 수 있습니다."
12,워드프로세서 필기 2020  시나공 총정리 ,길벗R&D,길벗,"시험 날짜는 다가오는데 공부할 시간이 없다면? 시나공 총정리 시리즈!
합격에 꼭 필요한 핵심 개념을 짧게 공부하고 기출문제로 바로 확인시켜 지루하지 않게 학습할 수 있습니다.

<핵심요약 & 대표기출문제"
13,시나공 컴퓨터활용능력 1급 필기 2020  시나공기본서 19 ,길벗R&D,길벗,"647개 필드 중 473개 필드! 합격에 필요한 내용만 골라 듣는 시나공식 맞춤 동영상 강의! 

[2020 시나공 컴퓨터활용능력 1급 필기]는 실제 시험의 출제 경향을 친절하게 짚어주고, 자주 시험에 나온 내용은"
14,시나공 컴퓨터활용능력 2급 필기 2020 ,길벗R&D,길벗,"386개 필드 중 292개 필드! 합격에 필요한 내용만 골라 듣는 시나공식 맞춤 동영상 강의! 

[2020 시나공 컴퓨터활용능력 2급 필기]는 실제 시험의 출제 경향을 친절하게 짚어주고, 자주 시험에 나온 내용은"
15,Step Up MOS 2016 Excel Expert CD1장포함 ,YBM넷 MOS 교재 개발팀,YBMNET,"- 독자대상 : MOS 2016 Excel Expert 학습자 또는 자격시험 준비생
- 구성 : 이론 + 문제
- 특징 : 2017년 6월부터 시행된 MOS 2016 Excel Expert 시험의 평가항목에 필요한 기능을 익힐 수 있도록 구성"
16,NCS 정보처리기사 실기 2020 ,NCS 정보기술 연구회,한국정보화기술, 
17,컴퓨터활용능력 1급 필기 기출문제집 2020  이기적 ,영진정보연구소,영진닷컴,본 도서는 컴퓨터활용능력 1급 필기 시험을 준비하는 수험생이 이론을 충분히 숙지한 후 시험 전 마지막으로 실력을 점검할 수 있도록 최신 기출문제 22회분과 핵심이론 PDF 제공 을 알차게 엮은
18,컴퓨터활용능력 2급 실기 기본서 2020  이기적  전2권 ,박윤정,영진닷컴,‘2020 이기적 컴퓨터활용능력 실기 기본서’가 출간되었습니다. 본 도서는 컴퓨터활용능력 2급 실기 응시자를 위한 도서로 시험에 나오는 이론만을 수록하여 짧은 시간에 자격증 대비가 가능하도록 한 완벽
19,정보처리기사필기 2020  NCS ,NCS 정보기술 연구회,한국정보화기술,"- 독자대상 : 정보처리기사 시험 준비생
- 구성 및 특징 : 	
① 최근 경향 반영	
② 학습 내용 체계적으로 구성"
20,SQL 자격검정 실전문제,한국데이터진흥원,한국데이터진흥원,"SQL 자격검정 실전문제는 국가공인 SQL 전문가 및 국가공인 SQL 개발자 자격시험 대비 수험서로 SQL 전문가 가이드에서 다루고 있는 데이터 모델링의 이해, SQL기본 및 활용, SQL 고급 활용 및 튜닝 등의 내용을"
21,ITQ OA Master 기본서 엑셀+한글+파워포인트 2010 사용자용  2020  시나공 ,길벗R&D,길벗,"짧은 시간 투자하여 OA MASTER가 되기 위한 효율적 학습 전략 제시!

OA Master가 되기 위해서는 3과목 이상을 모두 A 등급으로 합격해야 합니다. 이 책 한 권으로 OA Master를 준비할 수 있도록 엑셀, 한글,"
22,ADsP 데이터 분석 준전문가 2019  개정판 ,윤종식,데이터에듀,본 도서는 한국데이터베이스진흥원에서 실시하고 있는 『데이터 분석 전문가 ADP 』 자격증과 『데이터 분석 준전문가 ADsP 』 자격증을 준비하는 수험생들을 위한 도서이다. 2014년 4월 이후 시행된 자격증
23,분개로 익히는 기초회계원리 2020  EBS 에듀윌 ,김성수,에듀윌,"공무원 회계학, 전산세무회계, ERP 분야 
1위 에듀윌!
믿고 보는 회계 기초서 

“왜 분개로 시작해야 할까?”
회계는 기업의 언어이다. 기업의 언어인 회계를 알지 못하면 기업이 어떤 식으로 돌아가는지"
24,컴퓨터활용능력 1급 필기 기출문제집 2020  시나공 ,길벗알앤디,길벗,"최근 5년간 출제된 최신 기출문제 15회분을 수록하고 문제마다 시험에 출제된 비율에 따라 A, B, C, D 등급을 지정하여 중요도를 표시했습니다. 개념과 함께 더 공부해야 할 문제, 문제와 지문을 외워야 할 문제,"
25,컴퓨터활용능력 1급 실기 기본서 세트 2020  이기적  전5권 ,박윤정,영진닷컴,‘2020 이기적 컴퓨터활용능력 실기 기본서’가 출간되었습니다. 본 도서는 컴퓨터활용능력 1급 실기 응시자를 위한 도서로 시험에 나오는 이론만을 수록하여 짧은 시간에 자격증 대비가 가능하도록 한 완벽
26,시나공 정보처리기능사 필기 2020 ,길벗R&D,길벗,"[2020 시나공 정보처리기능사 필기]는 실제 시험의 출제 경향을 친절하게 짚어주고, 자주 시험에 나온 내용은 확실히 강조하여 혼자서도 충분히 공부할 수 있게 도와줍니다. 지금까지 출제된 모든 기출문제를"
27,컴퓨터활용능력 2급 필기 기출문제집 2020  시나공 ,길벗R&D,길벗,"최근 5년간 출제된 최신 기출문제 15회분을 수록하고 문제마다 시험에 출제된 비율에 따라 A, B, C, D 등급을 지정하여 중요도를 표시했습니다. 개념과 함께 더 공부해야 할 문제, 문제와 지문을 외워야 할 문제,"
28,컴퓨터활용능력 2급 실기 기출문제집 2020  이기적 ,박윤정,영진닷컴,‘2020 이기적 컴퓨터활용능력 실기 기출문제집’이 출간되었습니다. 본 도서는 컴퓨터활용능력 2급 실기 응시자를 위한 도서로 시험에 나오는 문제만을 수록하여 짧은 시간에 자격증 대비가 가능하도록 한 완벽
29,MOS 2016 PowerPoint STEP UP  CD1장포함 ,YBMNET MOS 교재 개발팀,YBMNET,2017년 6월부터 시행된 MOS 2016 PowerPoint 시험의 평가항목에 필요한 기능을 익힐 수 있도록 구성한 [MOS 2016 PowerPoint]. MS Office 2016의 고급 기능을 익힐 수 있도록 자세한 기능 설명과 개념 설명과
30,MOS 2016 Word Expert Step Up  CD1장포함 ,와이비엠 편집부,와이비엠,"- 독자대상 : MOS 2016 Word Expert 시험 준비생
- 구성 : 이론 + 문제
- 특징 : 
① MOS 주관사가 만든 2016 워드 Expert 대비서
② 실전모의고사 3회분 수록
③ 2017년 6월부터 시행된 MOS 2016 Word"
31,컴퓨터활용능력 1급 필기 2020  시나공 Summary ,길벗R&D,길벗,"시험 날짜는 다가오는데 공부할 시간이 없다면? 시나공 SUMMARY 시리즈!

합격에 꼭 필요한 핵심 개념과 이 이론이 어떻게 문제로 출제되는지 확인할 수 있도록 ‘핵심’과 관련하여 출제되었던 모든 문제를"
32,워드프로세서 실기 기본서 2020  이기적 ,송재현,영진닷컴,본 도서는 ‘워드프로세서 실기’를 준비하는 수험생들이 실제 출제되는 문제를 연습하여 합격에 이를 수 있도록 구성된 워드프로세서 실기 수험서입니다. 시행처의 출제 유형을 빠짐없이 수록하고 설명하여
33,"STEP UP MOS 2016 Access 학습 예제파일, 확인학습 및 모의고사 해설 ",YBM넷 MOS 교재 개발팀,YBMNET, 
34,시나공 워드프로세서 필기 2020  시나공시리즈 18 ,길벗R&D,길벗,"378개 필드 중 280개 필드! 합격에 필요한 내용만 골라 듣는 시나공식 맞춤 동영상 강의! 

[2020 시나공 워드프로세서 필기]는 실제 시험의 출제 경향을 친절하게 짚어주고, 자주 시험에 나온 내용은 확실히"
35,워드프로세서 필기 기출문제집 2020  시나공 ,길벗R&D,길벗,"최근 5년간 출제된 최신 기출문제 15회분을 수록하고 문제마다 시험에 출제된 비율에 따라 A, B, C, D 등급을 지정하여 중요도를 표시했습니다. 개념과 함께 더 공부해야 할 문제, 문제와 지문을 외워야 할 문제,"
