순위,제목,저자,출판사,요약
1,김도형의 데이터 사이언스 스쿨 수학 편  소문난 명강의 ,김도형,한빛미디어,이 책은 대학에서 수학을 전공하지 않은 인공지능 개발 입문자와 현업 전문가에게 핵심 수학을 알려줍니다. 수식에 많이 사용되는 그리스 알파벳과 고등학교 과정의 수학 기호부터 설명해 누구나 차근차근 수학을
2,Do it! 쉽게 배우는 R 데이터 분석,김영우,이지스퍼블리싱,"데이터 분석을 처음 시작한 초보자도 어깨춤을 추며 데이터를 혼자 다룰 수 있게 한다는 강의가 책으로 출간되었다. 통계, 프로그래밍, 데이터 분석을 전혀 몰라도 「Do it! 쉽게 배우는 R 데이터 분석」을 통해"
3,데이터 분석 전문가 가이드 ADP  ADsP  개정판  양장본 HardCover ,한국데이터산업진흥원,한국데이터산업진흥원,"『데이터 분석 전문가 가이드 ADP  ADsP 』는 데이터 분석 전문가 양성을 위한 지침서로 산 ㆍ 학의 전문가들과 직무분석 결과와 실무 전문가들의 경험을 바탕으로 데이터의 이해, 처리기술, 분석 기획에서부터"
4,논문 통계분석 제대로 알고 쓰는  개정증보판 ,노경섭,한빛아카데미,"정확한 통계 개념과 분석 방법을 알아야
제대로 된 논문을 작성할 수 있다! 

이 책은 깊이 있는 통계학적 이론을 설명하기보다 
꼭 필요한 통계 개념을 정확히 짚어주고
논문 작성의 핵심인 툴 SPSS/AMOS 을"
5,프로그래머를 위한 선형대수,히라오카 카즈유키,길벗,"행렬식을 계산할 수는 있지만, 행렬식의 의미는 모른다? 손으로 계산하든 컴퓨터로 계산하든 식의 의미를 이해하지 못하면 무슨 소용이 있을까요? 선형대수를 푸는 방법이 아니라 ‘왜 이런 결과가 나타나는가?’,"
6,데이터 과학을 위한 통계,피터 브루스,한빛미디어,"데이터 과학자가 고전 통계를 낱낱이 알아야 하는 것은 아니다. 이 책은 다양한 통계 기법을 데이터 과학에 적용해보며, 중요한 것과 중요하지 않은 것을 구분하는 실용적인 방법을 알려준다. EDA, 회귀분석, 분류"
7,데이터 전처리 대전,모토하시 도모미쓰,한빛미디어,데이터 분석의 품질에 큰 영향을 미치는 데이터 전처리는 매우 중요한 작업이다. 전처리 공정을 전체적으로 이해하려면 프로그래밍 언어에 관한 이해뿐만 아니라 통계학이나 머신러닝에 관한 기반 지식이
8,대시보드 설계와 데이터 시각화,스티브 웩슬러,책만,대시보드 Dashboard 란 데이터 분석으로부터 얻어낸 중요한 발견들을 한눈에 직관적으로 파악할 수 있도록 다양한 차트를 디자인 원칙에 따라 구성해 놓은 일종의 시각적 리포트다. 이 책에서는 비즈니스
9,패널데이터분석 Version15 STATA  양장본 HardCover ,민인식,지필미디어,▶ 이 책은 전산통계를 다룬 이론서입니다. 전산통계의 기초적이고 전반적인 내용을 학습할 수 있습니다.
10,STATA 고급통계분석 양장본 HardCover ,민인식,지필미디어,▶ 이 책은 STATA 고급통계분석을 다룬 이론서입니다. STATA 고급통계분석의 기초적이고 전반적인 내용을 학습할 수 있습니다
11,Spotfire 초보자 가이드 개정판 ,김성기,한나래,"Spotfire, 조직의 합리적 의사결정을 이끄는 최고의 BI 프로그램!
시각화는 여러 가지 시각화 도구 도표·그래프·지도 등 를 통해 데이터 분석 결과를 효과적으로 전달하는 방법으로, 수많은 데이터 더미 속에서"
12,매개효과와 조절효과 및 조절된 매개효과 분석 MPlus를 이용한  양장본 HardCover ,이형권,신영사,▶  MPlus를 이용한 매개효과에 관한 내용을 담은 전문서적입니다.
13,STATA 기초통계와 회귀분석 2판  양장본 HardCover ,민인식,지필미디어,▶ STATA 기초통계와 회귀분석에 관한 내용을 담은 전문서적입니다.
14,빅데이터를 지탱하는 기술,니시다 케이스케,제이펍,"컴퓨터의 성능 향상에 따라 점점 더 많은 것이 시스템화되어 좀 더 효율 높게 운용하는 시대가 되었습니다. 예로, 스마트폰으로 물건을 사면 바로 다음 날에 받아볼 수 있습니다. 그렇다면 데이터 처리를 어떻게"
15,쉽게 배우는 MATLAB 입문과 활용 5판 ,여영구,아진,▶ 이 책은 MATLAB 입문과 활용을 다룬 이론서입니다.
