순위,제목,저자,출판사,요약
1,밑바닥부터 시작하는 딥러닝,사이토 고키,한빛미디어,"『밑바닥부터 시작하는 딥러닝』은 라이브러리나 프레임워크에 의존하지 않고, 딥러닝의 핵심을 ‘밑바닥부터’ 직접 만들어보며 즐겁게 배울 수 있는 본격 딥러닝 입문서다. 술술 읽힐 만큼 쉽게 설명하였고,"
2,"머신 러닝 교과서 with 파이썬, 사이킷런, 텐서플로",세바스찬 라시카,길벗,코드 실행만으로는 머신 러닝을 충분히 이해할 수 없다. 머신 러닝을 제대로 이해하고 싶다면 코드 외에도 머신 러닝 이론과 머신 러닝 알고리즘의 뒤편에 있는 수학 개념을 알아야 한다. 이 책은 이해를 돕는
3,Do it! 정직하게 코딩하며 배우는 딥러닝 입문,박해선,이지스퍼블리싱,이 책은 어설픈 지름길을 담지 않았다. 공부는 했는데 남는 게 없으면 안 되니까! 실무에서 제대로 알고 써야 하니까! 국내 6명뿐인 구글 인증 머신러닝 전문가 ML GDE; Machine Learning Google Developer
4,밑바닥부터 시작하는 딥러닝. 2,사이토 고키,한빛미디어,이 책은 『밑바닥부터 시작하는 딥러닝』에서 다루지 못했던 순환 신경망 RNN 을 자연어 처리와 시계열 데이터 처리에 사용하는 딥러닝 기술에 초점을 맞춰 살펴본다. 8장 구성으로 전체를 하나의 이야기처럼
5,클린 아키텍처: 소프트웨어 구조와 설계의 원칙,로버트 C. 마틴,인사이트,"“살아있는 전설이 들려주는 실용적인 소프트웨어 아키텍처 원칙”

소프트웨어 아키텍처의 보편 원칙을 적용하면 소프트웨어 수명 전반에서 개발자 생산성을 획기적으로 끌어올릴 수 있다. 《클린 코드》와"
6,미술관에 GAN 딥러닝 실전 프로젝트,데이비드 포스터,한빛미디어,"이 책은 케라스를 사용한 딥러닝 기초부터 AI 분야 최신 알고리즘까지 설명한다. 기계 스스로 그림을 그리고, 글을 쓰고, 음악을 작곡하고, 게임을 하는 딥러닝 생성 모델을 재현하는 과정에서 독자는 변이형"
7,알고리즘 문제 해결 전략 세트 프로그래밍 대회에서 배우는  전2권 ,구종만,인사이트,"프로그래밍 대회에서 배우는『알고리즘 문제 해결 전략 세트』. 프로그래밍 대회 문제를 풀면서 각종 알고리즘 설계 기법과 자료 구조에 대해 배우고, 나아가 문제 해결 능력까지 키울 수 있도록 구성된 책이다."
8,한국어 임베딩,이기창,에이콘출판,"자연어 처리 모델의 성능을 높이는 핵심 비결, 〈한국어 임베딩〉
임베딩 embedding 은 자연어를 숫자의 나열인 벡터로 바꾼 결과 혹은 그 일련의 과정 전체를 가리키는 용어다. 단어나 문장 각각을 벡터로"
9,핸즈온 머신러닝,오렐리앙 제롱,한빛미디어,최근의 눈부신 혁신들로 딥러닝은 머신러닝 분야 전체를 뒤흔들고 있습니다. 이제 이 기술을 거의 모르는 프로그래머도 데이터로부터 학습하는 프로그램을 어렵지 않게 작성할 수 있습니다. 이 책은 그
10,케라스 창시자에게 배우는 딥러닝 Deep Learning with Python ,프랑소와 숄레,길벗,"케라스 창시자이자 구글 딥러닝 연구원인 저자는 ‘인공 지능의 민주화’를 강조한다. 이 책 역시 많은 사람에게 딥러닝을 전달하는 또 다른 방법이며, 딥러닝 이면의 개념과 구현을 가능하면 쉽게 이해할 수 있게"
11,김기현의 자연어 처리 딥러닝 캠프: 파이토치 편 소문난 명강의 ,김기현,한빛미디어,자연어 처리 기초부터 심화까지 파이토치를 활용하여 짜임새 있게 설명한다. 저자가 현업에서 시스템을 구현하며 얻은 경험과 인사이트를 최대한 담았다. 자칫 지루할 수 있는 수학적 이론을 최소화하고 실전에 꼭
12,인공지능을 위한 수학,이시카와 아키히코,프리렉,"머신러닝·딥러닝의 출발점, 수학의 기초부터 튼튼하게!
이 책은 처음부터 끝까지 인공지능 머신러닝, 딥러닝 에 사용하는 수학적 개념을 재조명하는 데 집중하고 있습니다. 먼저, 기본편에서는 인공지능을"
13,기초부터 시작하는 강화학습 신경망 알고리즘 위키북스 데이터 사이언스 시리즈 44 ,손민규,위키북스,"강화학습은 인간이 학습하는 과정과 비슷한 인공지능 분야 중 하나입니다. 로봇의 행동학습, 자율주행 자동차의 행동학습에 대표적으로 사용되며, 알파고의 핵심 알고리즘으로 유명해졌습니다.

이 책은"
14,파이썬 머신러닝 완벽 가이드 데이터 사이언스 시리즈 31 ,권철민,위키북스,"자세한 이론 설명과 파이썬 실습을 통해 머신러닝을 완벽하게 배울 수 있습니다!

《파이썬 머신러닝 완벽 가이드》는 이론 위주의 머신러닝 책에서 탈피해 다양한 실전 예제를 직접 구현해 보면서 머신러닝을"
15,Do it! 자료구조와 함께 배우는 알고리즘 입문: 자바 편,보요 시바타,이지스퍼블리싱,"국내 IT 기업의 면접, 코딩 시험에서 중요하게 생각하는 역량 가운데 하나는 자료구조와 알고리즘이다. 자료구조와 알고리즘은 머리로 개념만 이해한다고 바로 실전에 사용할 수는 없다. 하나씩 자신의 손으로"
16,유아이패스 UiPath 입문 + 활용 모두를 위한 RPA ,송순오,앤써북,"이 책은 전 세계 1위 RPA 플랫폼인 UiPath 유아이패스 의 기본부터 실무 적용까지 설명한 입문 실전 활용서이다. 

이 책은 UiPath를 사용하는 완전 초보자도 따라하면서 실무에 바로 적용할 수 있도록 실무에서"
17,그로킹 딥러닝,앤드루 트라스크,한빛미디어,"인공지능은 단순한 유행이 아니라 시대의 요구사항이 되었습니다. 두 번의 AI 겨울을 지나고, 전 세계 바둑 챔피언을 꺽으며 새롭게 등장한 인공지능은 기술을 넘어 예술까지도 넘보며 다양한 산업과 함께"
18,파이썬으로 배우는응용 텍스트 분석 제이펍의 인공지능 시리즈 20 ,벤자민 벵포트,제이펍,"이 책에서 여러분은 언어 인식 language-aware  제품을 구축하는 일에 머신러닝을 활용하는 데이터 과학자의 접근 방식을 볼 수 있다. 특히, 문맥이나 사용 언어에 맞춰 특징을 처리하는 기술 즉, 특징 공학 이나"
19,파이썬을 활용한 딥러닝 전이학습 데이터 사이언스 시리즈 42 ,디파니안 사르카르,위키북스,"이 책의 목적은 두 가지다. 첫째, 딥러닝과 전이학습에 관한 자세한 내용을 집중적으로 다루고 이해하기 쉬운 개념과 예제로 이 둘을 비교 및 대조한다. 둘째, 텐서플로, 케라스, 파이썬 등의 기존 생태계를"
20,"이토록 쉬운 딥러닝을 위한 기초 수학 with 파이썬 시작의기술, 이토록 쉬운 시리즈 03 ",마스이 도시카츠,루비페이퍼,"딥러닝도 모르겠는데 수학은 손놓은 지 오래다?
이 책을 한마디로 설명하자면 ‘수학 기초와 파이썬으로 배우는 머신러닝과 딥러닝 기초’라고 할 수 있습니다. 기초 수학을 설명한 후 여기서 파생하는"
