순위,제목,저자,출판사,요약
1,Do it! 첫 코딩,정동균,이지스퍼블리싱,"코딩이 막막한 보통 사람들을 위해 태어난 책! 초등 고학년부터 대학생, 어르신까지 남녀노소 누구나 ‘코딩할 줄 아는 사람’이 되도록 도와주는 책입니다. 디지털 시대에 알아야 할 프로그래밍의 52가지 핵심"
2,된다! 네이버 블로그 포스트 개정판 2판 ,황윤정,이지스퍼블리싱,"블로그 분야 1위! 수많은 블로거가 교과서처럼 읽은 책! 개정 2판으로 만나보세요!

블로그 만들기, 꾸미기, 키워드 분석, 글쓰기 요령, 검색 상위 노출 방법, SNS 확장법, 통계 분석 등 방문자를 최대치로"
3,컴퓨터 왕기초 초보탈출비법 뚝딱뚝딱 배우는 ,IT교재연구팀,시대인,"컴퓨터에 익숙하지 않은 초보자들이 알아야 할 가장 기본적인 내용을 중심으로 컴퓨터에 관련된 다양한 기능들을 학습할 수 있도록 구성된 “왕초보용 입문서"" [뚝딱뚝딱 배우는 컴퓨터 왕기초 초보탈출비법]. 이"
4,모두의 인공지능 with 스크래치,이영호,길벗,"인공지능을 이해하려면 꼭 어려운 프로그래밍 기술과 수학을 알아야 할까? <터미네이터>, <월-E> 같은 SF 영화 속에 등장하는 인공지능 로봇부터 우리 주변에 사용되는 인공지능의 예를 통해, 인공지능이 무엇이며"
5,송쌤의 엔트리 게임 코딩 학교,송상수,제이펍,"재밌는 게임을 만들다 보면 어느새 컴퓨팅 사고력도, 창의력도 쑥쑥!

이 책에서는 초등 SW 교과서 저자이자 엔트리 개발에 참여한 송쌤과 함께 다양한 종류의 게임을 만들면서 순차, 선택, 이벤트, 반복, 조건,"
6,송쌤의 스크래치 코딩 학교,송상수,제이펍,"이 책은 초등 SW 교과서 저자이자 초중등 코딩 분야 베스트셀러인 《송쌤의 엔트리 코딩 학교》를 집필한 송상수 저자의 세 번째 책입니다. 송쌤과 함께라면 순차, 반복, 선택, 비교 연산, 이벤트, 변수, 리스트,"
7,비버챌린지. 2: 비버챌린지로 배우는 소프트웨어 초등학생용 ,한국비버챌린지,생능출판,비버챌린지 Bebras Challenge 는 현재 세계 70여 개국에서 시행되고 있는 최고의 컴퓨팅 사고력 챌린지이다. 한국비버챌린지 Bebras Korea 는 2016년 국제비버챌린지워크숍에 처음 참가하였고 2017년 비버챌린지의
8,누구나 쉽게 따라하는 블로그마케팅,이기용,예문사,"블로그, 페이스북, 카카오스토리 등 다양한 온라인 마케팅 수단 중 가장 추천하는 마케팅 도구는 바로 블로그입니다. 요즘은 블로그 마케팅을 하지 않으면 매출이 떨어진다고 할 정도로 선택 아닌 필수가 되었죠."
9,EV3 로봇 창작 프로젝트 쉽게 배우는 SW 코딩 교육 시리즈 4 ,김형기,삼양미디어,이 책은 일상에서 발생하는 다양한 문제 상황을 레고 마인드스톰 EV3 교구로 직접 로봇을 조립하여 문제를 해결해 나가는 코딩 방법을 익히면서 소프트웨어를 학습할 수 있도록 구성하였습니다. 뿐만 아니라 여러
10,엔트리로 시작하는 로봇 활용 SW 교육: 햄스터,김황,영진닷컴,"2018년부터 SW 교육이 의무화되면서 코딩 교육과 피지컬 컴퓨팅에 대해 많은 관심을 가지고 있습니다. 햄스터 로봇은 다양한 프로그래밍 언어를 통해 프로그램을 제작할 수 있고, SW 교육에 필요한 다양한 입출력"
11,비버챌린지 2019년도 기출문제집 중고등학생용 ,한국비버챌린지,생능출판사,비버챌린지 Bebras Challenge 는 현재 세계 70여 개국에서 시행되고 있는 최고의 컴퓨팅 사고력 챌린지이다. 한국비버챌린지 Bebras Korea 는 2016년 국제비버챌린지워크숍에 처음 참가하였고 2017년 비버챌린지의
12,엘라스틱서치 실무 가이드 위키북스 오픈소스 & 웹 시리즈 94 ,권택환,위키북스,이 책은 오픈소스 검색엔진의 대표 주자인 엘라스틱서치에 대한 전반적인 내용을 다룬다. 하지만 단순히 엘라스틱서치의 기능을 단편적으로만 설명하고 끝내는 것이 아니라 한국 검색 시장에 맞게 한글 형태소
13,교실 속 소프트웨어 교육,강동훈,북랩,"SW 교육을 통해 미래의 주인공,
학생들의 생각을 키우고 세상을 바꾸자!

현직 초등학교 교사들의 교실 속 소프트웨어 SW  교육 실습 현장 기록

이 책은 2019학년도부터 초등학교 실과 교육과정으로"
14,엔트리 코딩학교 송쌤의 ,송상수,제이펍,"『엔트리 코딩학교』는 엔트리로 만들 수 있는 다양한 작품을 학교에서 배우듯이 친절히 가르쳐 준다. ‘생각하기, 생각다듬기, 알고리즘 만들기, 프로그래밍하기, 검토하기’처럼 소프트웨어 제작 단계를 나누어"
15,지니어스키트로 배우는 마이크로비트,아이씨뱅큐,제이펍,"마이크로비트 micro:bit 는 영국의 BBC 방송사가 학생과 교사들이 프로그래밍하는 방법을 배울 수 있도록 설계한 포켓 사이즈의 마이크로컨트롤러, 즉 미니 컴퓨터입니다. 우리는 이 마이크로비트를 가지고 20개의"
16,교실의 미래 구글 클래스룸,Google Educator Group South Korea,프리렉,"이 책은 전 세계 190개국 7,000만 명이 사용하는 구글 클래스룸 G Suite for Education 을 학교와 수업에 처음 도입하는 것부터 체계적인 관리와 운영까지 설명합니다. 구글 클래스룸을 활용하면 선생님은"
17,4차 산업 수업 혁명:  with STEAM 교육&Maker 교육 ,최인수,다빈치books,"STEAM 교육과 메이커 Maker  교육
학교와 메이커 스페이스에서 할 수 있는 4차 산업 수업 혁명

STEAM 융합 교육에서 SW 교육으로 더 나아가 만들기 활동으로 세상과 상호작용할 수 있는 메이커 교육이"
18,요리조리 열어 보는 컴퓨터와 코딩 Usborne  플랩북 ,알렉스 프리스,어스본코리아,놀이와 학습을 접목한 플랩북 「요리조리 열어 보는」시리즈는 아이들을 흥미진진한 과학의 세계로 안내한다. 책 속 플랩 70여 개를 하나씩 들추면 지식들이 쏙쏙 튀어나와 아이들의 호기심을 돋우어요. 또한 열면
19,스크래치야! 과학이랑 놀자 3.0,김미의,영진닷컴,스크래치 3.0 버전은? MIT에서 개발된 스크래치는 블록을 연결만 하면 코딩이 되는 원리로 누구나 쉽게 프로그래밍 언어를 배울 수 있습니다. 이번에 스크래치가 3.0 버전으로 업데이트하면서 스마트폰에서도
20,언플러그드 컴퓨팅 쉽게 배워 폼나게 활용하는  Easy 시리즈 18 ,이재우,성안당,"쉽게 배워 폼나게 활용하는 언플러그드 컴퓨팅 비버챌린지문제 유형으로 풀어보는 컴퓨팅사고력 퍼즐 은
?전국컴퓨터교육협의회 추천도서입니다.
?비버챌린지 컴퓨팅 사고력 문제 유형과 지식을 결합한"
21,이젠 나도! 인스타그램 지금 시작해도 괜찮아 ,정주윤,성안당,이제는 인스타그램 시대! SNS 커뮤니티의 영향력은 페이스북에서 유튜브와 인스타그램으로 재편되고 있다. 인스타그램은 손쉽게 감각적인 사진을 업로드하고 공유하는 기능을 넘어 유튜브처럼 동영상 IGTV
22,구글활용 전문가 되기,김익순,헬리오스 대원사 ,"‘구글활용전문가’는 <국가민간자격기본법>에 따라 한국직업능력개발원에 등록된, 국제경력개발협회가 주관하는 민간자격증이다. 『구글활용전문가 되기』는 기본적으로 누구나 도전할 수 있도록 쉽게"
23,비버챌린지 2019년도 기출문제집 초등학생용 ,한국비버챌린지,생능출판,비버챌린지 Bebras Challenge 는 현재 세계 70여 개국에서 시행되고 있는 최고의 컴퓨팅 사고력 챌린지이다. 한국비버챌린지 Bebras Korea 는 2016년 국제비버챌린지워크숍에 처음 참가하였고 2017년 비버챌린지의
