순위,제목,저자,출판사,요약
1,혼자 공부하는 파이썬,윤인성,한빛미디어,"혼자 해도 충분하다! 1:1 과외하듯 배우는 파이썬 프로그래밍 자습서 파이썬 최신 버전 반영 
이 책은 독학으로 프로그래밍 언어를 처음 배우려는 입문자가, 혹은 파이썬을 배우려는 입문자가 ‘꼭 필요한 내용을"
2,Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,"파이썬 4년 연속 베스트셀러 1위! ★★★★
《Do it! 점프 투 파이썬》 전면 개정판 출시!
문과생도 중고등학생도 직장인도 프로그래밍에 눈뜨게 만든 바로 그 책이 전면 개정판으로 새로 태어났다! 2016년 《Do"
3,윤성우의 열혈 C 프로그래밍 개정판 ,윤성우,오렌지미디어,"윤성우 열형강의『C 프로그래밍』은 C언어에 대한 기본을 배울 수 있는 개론서이다. 이 책은 총 4개의 파트로 구성이 되어 있다. C언어의 기본이 되는 내용들을 다루고 배열과 포인트에 대해서 다루고 구조체,"
4,모두의 데이터 분석 with 파이썬,송석리,길벗,"“서울이 가장 더웠던 날은 언제였을까?”
“우리 동네에는 남성과 여성 중 어떤 성별이 더 많이 살고 있을까?”
”출근 시간대 사람들이 가장 많이 타고 내리는 역은 어디일까?“

데이터 분석의 시작은 관심"
5,Do it! 지옥에서 온 문서관리자 깃&깃허브 입문,이고잉,이지스퍼블리싱,"대학생, 개발자, 일반 사무직까지! 문서 지옥에 빠진 모두를 위한 깃&깃허브 입문서가 나왔습니다. 일반 사람들에게 쉽게 프로그래밍을 알려 주는 ‘생활코딩’의 깃&깃허브 관련 강의에서 52개를 엄선해"
6,파이썬으로 배우는 통계학 교과서,바바 신야,한빛미디어,"데이터 분석에 관심이 높아지면서 통계학이 주목받고 있다. 이 책은 데이터 분석 관점에서 통계학을 설명한다. 어려운 통계학 개념을 이론, 수식, 파이썬 코드로 세 번 살펴본다. 한 번 보고 완전히 이해하지"
7,혼자 공부하는 C 언어 혼자 공부하는 시리즈 ,서현우,한빛미디어,"혼자 해도 충분하다! 1:1 과외하듯 배우는 C 프로그래밍 자습서
이 책은 독학으로 C 언어를 배우는 입문자가 ‘꼭 필요한 내용을 제대로’ 학습할 수 있도록 구성했다. ‘무엇을’ ‘어떻게’ 학습해야 할지조차"
8,쿠버네티스를 활용한 클라우드 네이티브 데브옵스,존 어런들,한빛미디어,"쿠버네티스가 표준 플랫폼으로 자리 잡은 클라우드 네이티브 세계에서 데브옵스를 실천하는 방법을 다룬다. 쿠버네티스 관련 기본 개념, 애플리케이션을 작성하고 상용 환경에서 배포하는 방법, 클러스터를"
9,Java의 정석 3판  전2권 ,남궁성,도우출판,자바의 기초부터 객제지향개념을 넘어 실전활용까지 수록한『Java의 정석』. 저자의 오랜 실무경험과 강의한 내용으로 구성되어 자바를 처음 배우는 초보자들의 궁금한 점을 빠짐없이 담고 있다. 더불어 기존의
10,파이썬 라이브러리를 활용한 데이터 분석 2판 ,웨스 맥키니,한빛미디어,"이 책은 NumPy, pandas, matplotlib, IPython, Jupyter 등 다양한 파이썬 라이브러리를 사용해서 효과적으로 데이터를 분석하는 방법을 알려준다. pandas의 새로운 기능뿐만 아니라 메모리 사용량을 줄이고 성능을"
